x,y
-42.19293594,2
-32.56928253,14
-22.94563293,66
-13.32198048,850
-3.69832897,26924
5.92532253,96644
15.54897404,3935
25.1726265,421
34.79627609,38
44.4199295,9
54.0435791,10
63.66723251,3
73.29088593,1
544.84979248,13
554.47344971,24
564.09710693,20
573.72076416,33
583.34442139,19
592.96807861,10
602.59173584,10
612.21539307,11
621.83898926,3
631.46264648,11
641.08630371,4
650.70996094,4
660.33361816,6
669.95727539,10
679.58093262,4
689.20458984,1
698.82824707,2
708.4519043,2
718.07556152,1
727.69915771,1
737.32281494,1
756.57012939,1
766.19378662,1
775.81744385,1
785.44110107,1
795.0647583,1
804.68841553,2
833.55932617,1
843.1829834,2
852.80664062,2
862.43029785,2
872.05395508,2
881.6776123,2
891.30126953,8
900.92492676,15
910.54858398,14
920.17224121,4
