x,y
-76.02120972,2
-74.17202759,3
-72.32284546,4
-70.47366333,2
-68.6244812,2
-66.77529907,3
-64.92611694,9
-63.07693481,2
-57.52938843,7
-55.6802063,4
-53.83102417,5
-51.98184204,3
-50.13265991,6
-48.28347778,6
-46.43429565,4
-44.58511353,8
-42.7359314,9
-40.88674927,10
-39.03756714,12
-37.18838501,9
-35.33920288,9
-33.49002075,8
-31.64083862,18
-29.79165649,20
-27.94247437,24
-26.09329224,38
-24.24411011,54
-22.39492798,94
-20.54574585,151
-18.69656372,238
-16.84738159,345
-14.99819946,488
-13.14901733,774
-11.29983521,1348
-9.45065308,2580
-7.60147095,5112
-5.75228882,10445
-3.90310669,18902
-2.05392456,26159
-0.20474243,25643
1.6444397,18240
3.49362183,9908
5.34280396,4437
7.19198608,2011
9.04116821,999
10.89035034,566
12.73953247,336
14.5887146,184
16.43789673,105
18.28707886,76
20.13626099,41
21.98544312,20
23.83462524,15
25.68380737,9
27.5329895,3
29.38217163,2
31.23135376,3
33.08053589,3
34.92971802,2
36.77890015,2
40.4772644,2
42.32644653,1
44.17562866,1
46.02481079,5
47.87399292,3
49.72317505,2
51.57235718,1
53.42153931,3
55.27072144,3
57.11990356,1
58.96908569,7
60.81826782,2
62.66744995,2
64.51663208,6
66.36581421,1
68.21499634,3
70.06417847,1
71.9133606,4
73.76254272,3
75.61172485,5
77.46090698,2
79.31008911,1
81.15927124,4
83.00845337,3
84.8576355,2
86.70681763,2
88.55599976,4
92.25436401,1
108.89700317,1
