x,y
-93.87612152,1
-84.57637787,1
-70.62676239,1
-63.65195084,1
-61.32701492,1
-54.35220718,2
-49.70233536,2
-47.37739944,1
-45.05246353,1
-40.40259171,1
-38.07765198,2
-35.75271606,1
-33.42778015,5
-31.10284615,6
-28.77790833,5
-26.45297241,3
-24.1280365,9
-21.80310059,21
-19.47816467,33
-17.15322876,72
-14.82829189,118
-12.50335598,220
-10.17842007,380
-7.85348368,594
-5.52854776,1008
-3.20361137,1670
-0.87867534,3019
1.44626081,5512
3.77119684,9323
6.09613323,14024
8.42106915,16959
10.74600506,15470
13.07094193,12759
15.39587784,10188
17.72081375,7405
20.04574966,5387
22.37068558,3570
24.69562149,2249
27.02055931,1236
29.34549522,826
31.67043114,501
33.99536514,316
36.32030487,203
38.64524078,149
40.9701767,82
43.29511261,76
45.62004852,45
47.94498444,39
50.26992035,24
52.59485626,7
54.91979218,13
57.24472809,9
59.569664,11
61.89459991,10
64.21953583,4
66.54447174,4
68.86940765,4
71.19434357,5
73.51927948,3
75.84421539,1
78.16915131,2
80.49408722,2
82.81902313,3
85.14395905,1
89.79383087,1
96.76864624,2
101.41851807,1
106.06838989,1
108.39332581,2
110.71826172,2
117.69306946,1
131.64268494,1
138.61749268,1
