x,y
-136.29916382,1
-132.42190552,1
-128.54464722,2
-124.66738129,1
-109.15834045,2
-105.28108215,2
-101.40382385,2
-97.52655792,2
-93.64929962,3
-89.77204132,5
-85.89478302,2
-82.01751709,7
-78.14025879,8
-74.26300049,8
-70.38574219,7
-66.50847626,19
-62.63121796,9
-58.75395966,15
-54.87669754,28
-50.99943924,28
-47.12217712,26
-43.24491882,46
-39.36765671,49
-35.49039841,84
-31.61313629,110
-27.73587799,165
-23.85861588,240
-19.98135757,389
-16.10409546,730
-12.2268362,1524
-8.349576,3033
-4.47231579,6119
-0.59505558,10769
3.28220463,16615
7.15946484,18235
11.03672504,15846
14.91398525,11704
18.79124451,8349
22.66850662,6189
26.54576492,4829
30.42302704,3384
34.30028534,2596
38.17754745,1779
42.05480576,1224
45.93206787,799
49.80932617,670
53.68658829,447
57.56384659,326
61.4411087,287
65.318367,219
69.19562531,209
73.07289124,157
76.95014954,126
80.82740784,124
84.70466614,117
88.58193207,111
92.45919037,87
96.33644867,82
100.21370697,73
104.0909729,48
107.9682312,72
111.8454895,52
115.7227478,53
119.60001373,51
123.47727203,37
127.35453033,31
131.23179626,41
135.10905457,24
138.98631287,35
142.86357117,24
146.74082947,27
150.61808777,20
154.49534607,19
158.37261963,17
162.24987793,10
166.12713623,16
170.00439453,11
173.88165283,9
177.75891113,10
181.63616943,5
185.51342773,12
189.39070129,8
193.26795959,5
197.1452179,7
201.0224762,2
204.8997345,7
208.7769928,2
212.6542511,2
216.5315094,4
220.40878296,5
224.28604126,5
228.16329956,2
232.04055786,3
239.79507446,2
243.67233276,2
251.42686462,2
