x,y
-260.21911621,1
-202.28359985,2
-195.84632874,2
-182.97177124,3
-176.53450012,1
-170.09721375,5
-163.65994263,6
-157.22265625,5
-150.78538513,5
-144.34809875,10
-137.91082764,6
-131.47355652,5
-125.03627014,10
-118.59899139,21
-112.16171265,10
-105.72444153,24
-99.28716278,23
-92.84988403,25
-86.41260529,32
-79.97532654,57
-73.53804779,72
-67.10076904,87
-60.66349411,133
-54.22621536,190
-47.78893661,245
-41.35166168,342
-34.91438293,524
-28.47710419,752
-22.03982735,1412
-15.6025486,3113
-9.16527176,6621
-2.72799349,11195
3.70928431,16451
10.14656258,16244
16.58383942,14427
23.02111816,13038
29.458395,10995
35.89567184,8720
42.33295059,6304
48.77022934,4409
55.20750809,3112
61.64478302,2297
68.08206177,1666
74.51934052,1387
80.95661926,1080
87.39389801,876
93.83117676,741
100.26844788,625
106.70572662,484
113.14300537,437
119.58028412,324
126.01756287,288
132.45483398,221
138.89212036,172
145.32939148,149
151.76667786,123
158.20394897,99
164.64123535,90
171.07850647,80
177.51577759,55
183.95306396,57
190.39033508,48
196.82762146,42
203.26489258,43
209.70217896,28
216.13945007,37
222.57673645,28
229.01400757,19
235.45127869,16
241.88856506,20
248.32583618,17
254.76312256,14
261.20040894,16
267.63766479,16
274.07495117,14
280.51223755,9
286.94949341,13
293.38677979,16
299.82406616,2
306.26135254,7
312.6986084,7
319.13589478,5
325.57318115,2
332.01043701,1
344.88500977,2
351.32229614,1
357.759552,3
370.63412476,3
383.50866699,1
