x,y
-49.80684662,1
-45.17520905,1
-44.01729584,1
-42.85938644,1
-41.70147705,2
-40.54356766,1
-39.38565826,5
-38.22774887,4
-37.06983566,8
-35.91192627,5
-34.75401688,15
-33.59610748,9
-32.43819809,28
-31.28028679,34
-30.12237549,34
-28.96446609,45
-27.8065567,50
-26.6486454,74
-25.49073601,87
-24.33282661,136
-23.17491531,175
-22.01700592,222
-20.85909462,272
-19.70118523,368
-18.54327583,415
-17.38536453,612
-16.22745514,768
-15.06954479,952
-13.91163445,1192
-12.75372505,1457
-11.5958147,1739
-10.43790436,2033
-9.27999401,2398
-8.12208462,2653
-6.96417427,2948
-5.80626392,3214
-4.64835405,3404
-3.49044371,3545
-2.33253384,3699
-1.17462361,3961
-0.0167135,4213
1.14119661,4181
2.2991066,4586
3.45701694,4711
4.61492682,4887
5.77283716,4915
6.93074703,4978
8.08865738,5072
9.24656773,5170
10.40447712,5155
11.56238747,5156
12.72029781,4910
13.87820816,4769
15.03611755,4348
16.19402885,4057
17.35193825,3577
18.50984764,3291
19.66775894,2883
20.82566833,2423
21.98357773,2062
23.14148903,1716
24.29939842,1440
25.45730972,1132
26.61521912,967
27.77312851,749
28.93103981,553
30.0889492,446
31.2468586,342
32.4047699,266
33.56267929,222
34.72058868,160
35.87849808,107
37.03641129,76
38.19432068,62
39.35223007,48
40.51013947,29
41.66804886,22
42.82596207,16
43.98387146,16
45.14178085,10
46.29969025,7
47.45759964,6
48.61551285,4
49.77342224,1
50.93133163,2
52.08924103,3
54.40505981,1
57.87879181,2
61.3525238,1
63.66834259,1
65.98416138,1
