x,y
-41.52323914,1
-38.24795532,1
-30.87857437,1
-29.24093437,1
-27.60329437,2
-25.14683342,2
-23.50919151,2
-21.05273247,3
-20.23391151,1
-19.41509056,4
-16.95862961,3
-16.13981056,5
-15.32098961,3
-14.50216961,4
-12.86452961,5
-12.04570866,9
-11.22688866,12
-10.40806866,7
-9.58924866,17
-8.7704277,34
-7.9516077,33
-7.1327877,38
-6.31396723,56
-5.49514723,69
-4.67632675,128
-3.85750675,184
-3.03868628,304
-2.21986628,519
-1.40104592,949
-0.58222568,1940
0.23659456,7958
1.0554148,9466
1.87423503,18517
2.69305515,26130
3.51187563,22288
4.33069563,18474
5.14951611,15853
5.96833611,13551
6.78715658,11888
7.60597658,10770
8.42479706,9648
9.24361706,8562
10.06243706,7799
10.88125801,6714
11.70007801,5799
12.51889801,4886
13.33771801,4006
14.15653896,3083
14.97535896,2251
15.79417896,1624
16.61299896,1147
17.43181992,737
18.25063896,488
19.06945992,328
19.88828087,225
20.70709991,148
21.52592087,106
22.34474182,69
23.16356087,29
23.98238182,31
24.80120087,14
25.62002182,10
26.43884277,7
27.25766182,6
28.07648277,3
28.89530373,1
30.53294373,1
31.35176277,1
37.90232468,1
40.35878754,1
