x,y
-106.51805115,1
-79.64664459,1
-76.66093445,1
-73.6752243,2
-70.68951416,2
-67.70380402,1
-64.71808624,1
-61.7323761,1
-55.760952,1
-52.77524185,1
-49.78952789,1
-46.80381775,3
-43.8181076,2
-37.8466835,2
-34.86096954,4
-31.8752594,8
-28.88954735,5
-25.9038353,16
-22.91812325,25
-19.93241119,85
-16.94669914,157
-13.96098804,334
-10.97527599,644
-7.98956442,1265
-5.00385237,2448
-2.01814079,4902
0.96757114,8877
3.95328283,14688
6.93899488,20937
9.92470646,21917
12.91041851,16530
15.89613056,9575
18.88184166,5190
21.86755371,2609
24.85326576,1337
27.83897781,733
30.82468987,446
33.81040192,286
36.79611206,178
39.78182602,117
42.76753616,67
45.75325012,51
48.73896027,34
51.72467041,35
54.71038437,17
57.69609451,17
60.68180847,5
63.66751862,13
66.65322876,8
69.63894653,1
72.62465668,4
75.61036682,3
78.59607697,1
81.58178711,3
84.56750488,2
87.55321503,3
90.53892517,1
93.52463531,3
99.49606323,1
102.48177338,1
108.45319366,2
114.42462158,2
120.39604187,1
123.38175201,1
132.33889771,2
135.32460022,1
150.25315857,1
174.13885498,1
192.0531311,1
