x,y
-168.13145447,1
-146.55404663,1
-133.60760498,2
-129.29212952,1
-124.97664642,1
-120.66116333,2
-116.34568787,5
-112.03020477,3
-107.71472168,3
-103.39923859,1
-99.08376312,4
-94.76828003,6
-90.45279694,6
-86.13731384,10
-81.82183838,13
-77.50635529,14
-73.19087219,15
-68.8753891,20
-64.55991364,22
-60.24443054,25
-55.92894745,40
-51.61346817,44
-47.29798508,52
-42.9825058,64
-38.66702271,94
-34.35154343,146
-30.03606033,219
-25.72058105,358
-21.40509796,636
-17.08961868,1397
-12.77413654,2589
-8.45865536,4557
-4.14317417,7855
0.17230701,12698
4.4877882,17728
8.80326939,20232
13.11875057,17009
17.4342308,11460
21.7497139,6765
26.06519318,4303
30.38067627,2859
34.69615555,1929
39.01163864,1257
43.32711792,896
47.64260101,730
51.95808029,468
56.27356339,405
60.58904266,312
64.90452576,265
69.22000885,177
73.53548431,173
77.85096741,145
82.1664505,126
86.48193359,107
90.79740906,87
95.11289215,87
99.42837524,73
103.74385834,54
108.0593338,59
112.37481689,44
116.69029999,48
121.00578308,32
125.32125854,28
129.63674927,30
133.95222473,24
138.2677002,24
142.58319092,15
146.89866638,17
151.21414185,16
155.52963257,16
159.84510803,12
164.16059875,10
168.47607422,6
172.79154968,9
177.10704041,4
181.42251587,3
185.73799133,7
190.05348206,5
194.36895752,3
198.68444824,3
202.99992371,7
207.31539917,3
211.63088989,2
215.94636536,4
220.26184082,2
224.57733154,3
228.89280701,1
233.20829773,3
237.52377319,1
241.83924866,1
246.15473938,1
263.41665649,1
