x,y
-193.23083496,2
-188.02746582,1
-182.82411194,3
-177.6207428,2
-172.41737366,4
-167.21400452,4
-162.01065063,4
-156.80728149,8
-151.60391235,4
-146.40054321,6
-141.19718933,5
-135.99382019,5
-130.79045105,17
-125.58708954,8
-120.3837204,19
-115.18035889,20
-109.97698975,15
-104.77362823,18
-99.57025909,23
-94.36689758,38
-89.16352844,35
-83.96016693,43
-78.75679779,52
-73.55343628,72
-68.35006714,116
-63.14670563,153
-57.94333649,182
-52.73997498,221
-47.53660583,286
-42.33324432,394
-37.12987518,594
-31.92651176,950
-26.72314644,1615
-21.51978111,2895
-16.31641579,4974
-11.11305046,7590
-5.90968513,10531
-0.70631981,12694
4.49704552,14595
9.70041084,13033
14.90377617,10817
20.10714149,9282
25.31050682,7798
30.51387215,6231
35.71723938,4875
40.92060089,3786
46.12397003,2866
51.32733154,2322
56.53070068,1750
61.73406219,1462
66.93743134,1233
72.14079285,1025
77.34416199,871
82.5475235,722
87.75089264,606
92.95425415,509
98.15762329,430
103.3609848,352
108.56435394,282
113.76771545,262
118.97108459,213
124.17444611,155
129.37780762,136
134.58117676,125
139.7845459,97
144.98791504,80
150.19126892,76
155.39463806,67
160.5980072,57
165.80137634,44
171.00473022,48
176.20809937,34
181.41146851,37
186.61483765,41
191.81819153,37
197.02156067,26
202.22492981,35
207.42829895,27
212.63165283,24
217.83502197,26
223.03839111,25
228.24176025,21
233.44511414,19
238.64848328,14
243.85185242,14
249.05522156,15
254.25857544,19
259.46194458,14
264.66531372,14
269.86868286,16
275.072052,16
280.27542114,8
285.47875977,5
290.68212891,6
295.88549805,8
301.08886719,3
306.29223633,3
311.49560547,1
321.90234375,2
327.10568237,1
