x,y
-52.59759521,1
-51.51471329,1
-50.43183136,1
-49.34894943,4
-48.2660675,3
-47.18318176,3
-46.10029984,7
-45.01741791,3
-43.93453598,15
-42.85165405,15
-41.76877213,20
-40.68588638,24
-39.60300446,44
-38.52012253,39
-37.4372406,56
-36.35435867,78
-35.27147293,110
-34.188591,136
-33.10570908,178
-32.02282715,227
-30.93994331,291
-29.85706139,357
-28.77417946,548
-27.69129562,692
-26.6084137,855
-25.52552986,1118
-24.44264793,1301
-23.35976601,1598
-22.27688217,1918
-21.19400024,2194
-20.11111832,2463
-19.02823448,2740
-17.94535255,2947
-16.86246872,3232
-15.77958679,3480
-14.69670391,3596
-13.61382198,3765
-12.5309391,3838
-11.44805622,3870
-10.36517334,4003
-9.28229141,4057
-8.19940853,4122
-7.11652565,4284
-6.03364325,4110
-4.95076036,4288
-3.86787796,4305
-2.78499508,4231
-1.70211256,4286
-0.61922991,4136
0.46365273,4034
1.54653537,3920
2.6294179,3919
3.71230078,3687
4.79518318,3641
5.87806606,3604
6.96094847,3330
8.04383087,3053
9.12671375,2635
10.20959663,2469
11.29247952,2099
12.37536144,1917
13.45824432,1582
14.5411272,1376
15.62401009,1098
16.70689201,904
17.78977585,768
18.87265778,610
19.9555397,494
21.03842354,388
22.12130547,279
23.20418739,185
24.28707123,168
25.36995316,139
26.45283699,93
27.53571892,64
28.61860085,57
29.70148468,61
30.78436661,29
31.86724854,23
32.95013046,18
34.0330162,10
35.11589813,19
36.19878006,9
37.28166199,8
38.36454391,10
39.44742966,5
40.53031158,6
41.61319351,5
42.69607544,6
43.77895737,4
44.86183929,3
49.19337082,1
55.6906662,1
