x,y
-52.32309723,1
-49.96369934,2
-48.7840004,1
-47.60430145,1
-44.06520081,2
-42.88550186,1
-41.70580292,2
-40.52610397,5
-38.16670227,3
-35.80730438,2
-34.62760544,3
-33.44790268,2
-32.26820374,2
-31.08850479,3
-29.90880585,8
-28.729105,10
-27.54940605,15
-26.36970711,13
-25.19000626,30
-24.01030731,44
-22.83060646,67
-21.65090752,96
-20.47120857,146
-19.29150772,229
-18.11180878,346
-16.93210983,428
-15.75240898,671
-14.57271004,980
-13.39301014,1413
-12.21331024,1927
-11.03361034,2697
-9.8539114,3616
-8.6742115,4809
-7.4945116,6165
-6.31481218,7143
-5.13511229,8603
-3.95541286,9655
-2.77571297,10182
-1.59601343,11072
-0.41631377,12194
0.76338589,15041
1.94308555,13983
3.12278509,10886
4.30248499,8153
5.48218441,6601
6.66188431,5435
7.84158373,4971
9.02128315,3834
10.20098305,3150
11.38068295,2679
12.56038284,2248
13.74008179,1758
14.91978168,1254
16.09948158,985
17.27918053,678
18.45888138,514
19.63858032,374
20.81827927,300
21.99798012,210
23.17767906,161
24.35737991,122
25.53707886,81
26.7167778,75
27.89647865,49
29.0761776,32
30.25587654,24
31.43557739,21
32.61527634,18
33.79497528,7
34.97467422,9
36.15437698,10
37.33407593,5
38.51377487,5
39.69347382,3
40.87317276,5
42.05287552,2
43.23257446,2
44.41227341,2
45.59197235,4
46.7716713,2
47.95137405,2
49.131073,1
50.31077194,1
51.49047089,1
52.67016983,1
53.84986877,2
55.02957153,2
57.38896942,1
58.56866837,1
65.64686584,1
