x,y
-29.61437416,2
-28.96562004,1
-28.31686592,3
-27.01935768,3
-26.37060356,2
-25.72184944,1
-25.07309532,2
-24.4243412,4
-23.77558708,2
-23.12683296,10
-22.47807884,14
-21.82932472,7
-21.1805706,9
-20.53181648,21
-19.88306236,34
-19.23430824,23
-18.58555412,36
-17.9368,44
-17.28804588,68
-16.63929176,87
-15.99053764,135
-15.34178352,223
-14.6930294,271
-14.04427528,435
-13.39552116,526
-12.74676704,704
-12.09801292,897
-11.4492588,1166
-10.80050468,1508
-10.15175056,1962
-9.50299644,2457
-8.85424232,2921
-8.2054882,3478
-7.55673409,4102
-6.90797997,4938
-6.25922585,5610
-5.61047173,6506
-4.96171761,7367
-4.31296349,7898
-3.66420937,8455
-3.01545525,9025
-2.36670113,9392
-1.71794701,9381
-1.06919289,9529
-0.42043877,9965
0.22831535,9821
0.87706947,10411
1.52582359,10075
2.17457771,9377
2.82333183,8494
3.47208595,7442
4.12084007,6311
4.76959419,5605
5.41834831,5044
6.06710243,4317
6.71585655,3828
7.36461067,3479
8.01336479,2992
8.66211891,2700
9.31087303,2501
9.95962715,2211
10.60838127,1900
11.25713539,1644
11.90588951,1513
12.55464363,1260
13.20339775,1013
13.85215187,956
14.50090599,810
15.14966011,697
15.79841423,561
16.44716835,463
17.09592247,412
17.74467659,303
18.39343071,281
19.04218483,247
19.69093895,200
20.33969307,174
20.98844719,124
21.63720131,121
22.28595543,95
22.93470955,79
23.58346367,62
24.23221779,38
24.88097191,43
25.52972603,21
26.17848015,28
26.82723427,25
27.47598839,15
28.12474251,5
28.77349663,7
29.42225075,12
30.07100487,9
30.71975899,1
31.36851311,3
32.01726532,1
32.66602325,1
33.96353149,1
34.6122818,1
35.26103973,1
