x,y
-52.3133812,1
-50.4497261,1
-36.47229767,1
-35.54046631,1
-34.60863876,1
-33.67681122,1
-31.81315231,1
-29.01766777,2
-25.29035187,2
-24.35852432,2
-23.42669487,2
-22.49486732,4
-21.56303787,8
-20.63121033,7
-19.69938087,16
-18.76755142,19
-17.83572388,36
-16.90389442,63
-15.97206688,96
-15.04023743,168
-14.10840893,226
-13.17658043,357
-12.24475193,587
-11.31292343,831
-10.38109493,1309
-9.44926643,1843
-8.51743793,2644
-7.58560896,3668
-6.65378046,4722
-5.72195148,6254
-4.79012299,7709
-3.85829449,9061
-2.92646575,10779
-1.99463725,11670
-1.06280851,12648
-0.13097996,13491
0.80084866,14945
1.73267722,17212
2.66450596,18609
3.59633446,14878
4.52816296,11836
5.45999193,9902
6.39182043,7899
7.32364893,6253
8.25547791,5096
9.1873064,4475
10.1191349,3805
11.0509634,3162
11.9827919,2509
12.9146204,1961
13.8464489,1365
14.77827835,927
15.71010685,700
16.64193535,468
17.57376289,282
18.50559235,188
19.4374218,115
20.36924934,79
21.3010788,47
22.23290634,25
23.16473579,20
24.09656334,18
25.02839279,11
25.96022224,5
26.89204979,4
27.82387924,1
28.75570679,1
29.68753624,2
31.55119324,1
32.48302078,2
34.34667969,1
35.27850723,2
36.21033478,1
38.07399368,1
39.00582123,1
39.93764877,2
40.86948013,1
