x,y
-498.89044189,1
-413.48580933,2
-381.45907593,1
-360.10791016,1
-354.7701416,1
-333.41897583,1
-301.39224243,1
-264.02770996,1
-258.68991089,1
-232.00097656,2
-215.98760986,2
-205.31202698,1
-199.97424316,1
-162.60972595,1
-157.27192688,1
-146.59635925,3
-141.25856018,2
-135.92077637,3
-130.58299255,4
-125.24520111,5
-119.90740967,4
-114.56961823,6
-109.23182678,2
-103.89404297,6
-98.55625153,8
-93.21846008,7
-87.88067627,8
-82.54288483,13
-77.20509338,20
-71.86730957,18
-66.52951813,27
-61.1917305,33
-55.85393906,43
-50.51615143,52
-45.17835999,66
-39.84057236,83
-34.50278473,88
-29.16499519,111
-23.82720566,155
-18.48941612,263
-13.15162754,652
-7.81383801,3610
-2.47604918,19503
2.86173987,103778
8.19952869,25001
13.53731823,4306
18.87510681,415
24.21289635,32
29.55068588,10
34.88847351,6
