x,y
-48.74062729,2
-47.56111145,1
-45.20207977,2
-44.02256393,1
-38.12498856,2
-36.94547272,3
-35.76595688,1
-34.58644104,2
-33.4069252,1
-32.22740936,6
-31.04789543,6
-29.86837959,8
-28.68886375,10
-27.50934982,19
-26.32983398,24
-25.15031815,23
-23.97080231,31
-22.79128838,52
-21.61177254,65
-20.4322567,95
-19.25274086,105
-18.07322693,158
-16.89371109,189
-15.71419525,241
-14.53468037,304
-13.35516453,429
-12.17564964,597
-10.9961338,725
-9.81661892,906
-8.63710308,1124
-7.4575882,1584
-6.27807236,1942
-5.09855747,2350
-3.91904187,2973
-2.73952651,3853
-1.56001115,5550
-0.38049579,8446
0.79901958,12773
1.97853494,16607
3.1580503,17789
4.33756542,14667
5.51708126,9519
6.69659615,6200
7.87611198,4185
9.05562687,3184
10.23514271,2638
11.41465759,1931
12.59417343,1570
13.77368832,1363
14.95320415,1142
16.13271904,878
17.31223488,748
18.49175072,572
19.67126465,437
20.85078049,353
22.03029633,299
23.20981216,224
24.3893261,161
25.56884193,127
26.74835777,102
27.92787361,74
29.10738754,54
30.28690338,36
31.46641922,33
32.64593506,28
33.8254509,21
35.00496674,9
36.18447876,8
37.3639946,2
38.54351044,8
39.72302628,6
40.90254211,1
42.08205795,2
43.26157379,2
44.44108963,2
45.62060165,3
49.15914917,1
50.33866501,1
51.51818085,5
56.23624039,1
57.41575623,1
59.7747879,1
69.21090698,1
