x,y
-167.44067383,1
-145.90219116,1
-132.97911072,1
-128.67140198,1
-124.3637085,2
-120.05601501,2
-115.74832153,1
-111.44062042,4
-107.13292694,4
-102.82522583,4
-94.20983124,5
-89.90213776,7
-85.59443665,4
-81.28674316,9
-76.97904968,10
-72.67134857,13
-68.36365509,13
-64.05595398,21
-59.7482605,24
-55.4405632,21
-51.13286591,33
-46.82516861,43
-42.51747131,42
-38.20977402,63
-33.90207672,82
-29.59438133,128
-25.28668404,175
-20.97898865,227
-16.67129135,405
-12.36359406,771
-8.05589771,1778
-3.74820065,4021
0.55949616,8274
4.86719322,14140
9.17488956,19374
13.48258686,19021
17.7902832,14706
22.0979805,10024
26.4056778,7084
30.71337318,5180
35.02107239,3680
39.32876587,2555
43.63646317,1709
47.94416046,1229
52.25185776,783
56.55955505,593
60.86725235,411
65.17494965,328
69.48264313,239
73.79034424,205
78.09803772,167
82.40573883,131
86.71343231,119
91.02112579,111
95.3288269,88
99.63652039,83
103.9442215,57
108.25191498,65
112.55961609,61
116.86730957,44
121.17501068,47
125.48270416,31
129.79040527,29
134.09809875,33
138.40579224,25
142.71348572,15
147.02119446,17
151.32888794,15
155.63658142,19
159.9442749,15
164.25196838,6
168.55967712,9
172.86737061,5
177.17506409,8
181.48275757,5
185.79046631,3
190.09815979,7
194.40585327,4
198.71354675,2
203.02124023,9
207.32894897,3
211.63664246,3
215.94433594,2
220.25202942,1
224.55973816,4
228.86743164,2
233.17512512,1
237.4828186,2
241.79051208,1
246.09822083,1
263.32901001,1
