x,y
-55.76567459,1
-50.80464172,1
-48.32412338,1
-45.84360886,3
-43.36309052,1
-42.12283325,3
-40.88257599,5
-39.64231873,3
-38.40205765,2
-37.16180038,15
-35.92154312,11
-34.68128586,26
-33.44102478,29
-32.20076752,30
-30.96051025,38
-29.72025108,56
-28.47999382,79
-27.23973465,86
-25.99947739,115
-24.75921822,165
-23.51896095,226
-22.27870178,283
-21.03844452,362
-19.79818535,477
-18.55792809,634
-17.31766891,789
-16.07741165,979
-14.83715248,1261
-13.59689522,1600
-12.35663605,1962
-11.11637878,2230
-9.87611961,2640
-8.63586235,2987
-7.39560366,3375
-6.15534544,3574
-4.91508722,3858
-3.67482901,4017
-2.43457079,4178
-1.19431257,4489
0.04594564,4604
1.28620386,5092
2.52646208,5001
3.76672029,5183
5.00697851,5248
6.24723673,5402
7.48749495,5440
8.72775269,5523
9.96801186,5569
11.20826912,5400
12.44852829,5064
13.68878555,4778
14.92904472,4271
16.16930199,3952
17.40956116,3532
18.64981842,3004
19.89007759,2544
21.13033485,2121
22.37059402,1731
23.61085129,1497
24.85111046,1137
26.09136772,862
27.33162689,656
28.57188416,550
29.81214333,369
31.05240059,303
32.29265976,262
33.53291702,206
34.77317429,103
36.01343536,68
37.25369263,69
38.49394989,51
39.73420715,42
40.97446823,19
42.21472549,18
43.45498276,16
44.69524002,16
45.9355011,7
47.17575836,3
48.41601563,4
49.65627289,4
50.89653397,1
52.13679123,1
54.61730576,1
57.0978241,1
58.33808136,1
63.29911423,1
64.53937531,1
68.26014709,1
