x,y
-13.66671085,1
-13.20417309,2
-12.74163628,1
-12.27909851,2
-11.35402393,1
-10.89148617,2
-10.4289484,2
-9.96641159,5
-9.50387383,3
-9.04133606,6
-8.57879925,8
-8.11626148,7
-7.65372372,13
-7.19118643,18
-6.72864914,21
-6.26611137,33
-5.80357409,44
-5.3410368,51
-4.87849903,71
-4.41596174,97
-3.95342422,97
-3.49088669,126
-3.02834916,226
-2.56581187,311
-2.10327435,459
-1.64073682,624
-1.17819941,897
-0.71566188,1361
-0.25312445,1922
0.20941302,3010
0.67195046,4695
1.13448799,7589
1.59702539,10488
2.05956292,12199
2.52210045,11862
2.98463774,10516
3.44717526,9382
3.90971279,8592
4.37225008,8266
4.83478785,7788
5.29732513,7627
5.75986242,7562
6.22240019,7487
6.68493748,7043
7.14747524,6921
7.61001253,6538
8.07254982,6373
8.53508759,6161
8.99762535,6003
9.46016216,5640
9.92269993,5220
10.38523769,4889
10.84777451,4479
11.31031227,4278
11.77285004,3860
12.23538685,3488
12.69792461,3118
13.16046238,2806
13.62299919,2444
14.08553696,2255
14.54807472,1883
15.01061153,1566
15.4731493,1384
15.93568707,1166
16.39822388,1029
16.86076164,869
17.32329941,757
17.78583717,584
18.24837494,476
18.7109108,446
19.17344856,345
19.63598633,302
20.09852409,257
20.56106186,198
21.02359962,147
21.48613739,120
21.94867325,98
22.41121101,71
22.87374878,60
23.33628654,44
23.79882431,27
24.26136208,43
24.72389793,22
25.1864357,19
25.64897346,12
26.11151123,9
26.574049,6
27.03658676,5
27.49912453,3
27.96166039,6
28.42419815,3
28.88673592,3
29.34927368,1
29.81181145,1
30.73688507,1
31.19942284,1
31.6619606,1
32.12449646,2
32.58703613,1
