x,y
-23.20134544,1
-19.06798172,1
-18.47750092,2
-17.29653931,2
-16.7060585,1
-16.1155777,2
-15.52509785,2
-14.93461704,4
-14.34413624,3
-13.75365543,1
-13.16317463,3
-12.57269382,2
-11.98221397,8
-11.39173317,4
-10.80125237,7
-10.21077156,10
-9.62029076,10
-9.02981091,11
-8.4393301,11
-7.8488493,20
-7.25836849,12
-6.66788816,30
-6.07740736,31
-5.48692656,42
-4.89644623,62
-4.30596542,81
-3.71548486,116
-3.12500429,156
-2.53452373,226
-1.94404304,449
-1.35356236,801
-0.76308179,1726
-0.17260113,3793
0.41787949,29996
1.00836015,11926
1.59884071,17241
2.18932128,18305
2.77980208,15791
3.37028265,13359
3.96076322,11010
4.55124378,9441
5.14172459,8556
5.73220491,7415
6.32268572,6830
6.91316652,6157
7.50364685,5944
8.09412766,5454
8.68460846,5233
9.27508926,4806
9.86556911,4431
10.45604992,4092
11.04653072,3547
11.63701153,3201
12.22749233,2931
12.81797218,2653
13.40845299,2333
13.99893379,1921
14.5894146,1630
15.1798954,1264
15.77037621,954
16.36085701,783
16.95133781,524
17.54181671,424
18.13229752,277
18.72277832,212
19.31325912,181
19.90373993,118
20.49422073,85
21.08470154,59
21.67518234,49
22.26566315,32
22.85614395,26
23.44662476,20
24.03710365,14
24.62758446,12
25.21806526,15
25.80854607,10
26.39902687,8
26.98950768,10
27.57998848,11
28.17046928,5
28.76095009,2
29.35143089,5
29.9419117,7
30.53239059,4
31.1228714,1
31.7133522,4
32.30383301,2
32.89431381,5
33.48479462,3
34.07527542,1
35.84671783,1
