x,y
-45.11517715,2
-44.32720184,4
-42.75125122,2
-41.96327591,2
-40.38732529,1
-38.81137466,3
-38.02340317,1
-37.23542786,1
-36.44745255,2
-34.08352661,1
-33.2955513,1
-32.50757599,2
-31.71960258,1
-30.93162727,1
-30.14365196,2
-29.35567665,1
-28.56770325,3
-27.77972794,1
-26.99175262,7
-26.20377731,4
-25.41580391,2
-24.6278286,7
-23.83985329,7
-23.05187798,8
-22.26390266,7
-21.47592926,14
-20.68795395,14
-19.89997864,30
-19.11200333,19
-18.32402992,11
-17.53605461,21
-16.7480793,29
-15.96010399,21
-15.17212963,48
-14.38415432,40
-13.59617996,41
-12.80820465,47
-12.02023029,57
-11.23225498,56
-10.44427967,61
-9.65630531,59
-8.86833,89
-8.08035564,99
-7.29238033,106
-6.5044055,137
-5.71643066,187
-4.92845583,239
-4.140481,291
-3.35250616,320
-2.56453109,462
-1.77655625,751
-0.98858142,1008
-0.2006065,1769
0.58736837,116138
1.37534332,6208
2.16331816,11679
2.95129299,9170
3.73926806,8961
4.52724266,8380
5.31521797,7327
6.10319281,6391
6.89116764,5440
7.67914248,4988
8.46711731,4389
9.25509262,4064
10.04306698,3355
10.83104229,3060
11.61901665,2636
12.40699196,2080
13.19496632,1624
13.98294163,1353
14.77091694,993
15.5588913,753
16.34686661,551
17.13484192,375
17.92281532,276
18.71079063,190
19.49876595,121
20.28674126,85
21.07471657,64
21.86268997,73
22.65066528,36
23.43864059,29
24.22661591,23
25.01458931,18
25.80256462,7
26.59053993,6
27.37851524,3
28.16649055,2
28.95446396,5
29.74243927,2
30.53041458,2
31.31838989,3
33.68231583,1
