x,y
-47.18288422,1
-46.00006866,1
-44.81725311,2
-41.26880646,1
-37.7203598,2
-36.53754425,1
-34.17191315,1
-32.9890976,4
-31.80628204,2
-30.62346649,2
-29.44065094,7
-28.25783539,6
-27.07501984,7
-25.89220428,14
-24.70938873,16
-23.52657318,19
-22.34375763,30
-21.16094208,30
-19.97812653,48
-18.79531097,79
-17.61249542,79
-16.42967987,129
-15.24686432,155
-14.06404877,203
-12.88123322,246
-11.69841766,344
-10.51560211,512
-9.33278656,645
-8.14997101,847
-6.96715546,1101
-5.7843399,1480
-4.60152435,1894
-3.4187088,2411
-2.23589325,3062
-1.0530777,4448
0.12973785,7084
1.31255341,11613
2.49536896,16414
3.67818451,18688
4.86100006,15788
6.04381561,11047
7.22663116,7087
8.40944672,4810
9.59226227,3569
10.77507782,3016
11.95789337,2325
13.14070892,1904
14.32352448,1628
15.50634003,1332
16.68915558,1045
17.87197113,906
19.05478668,770
20.23760223,629
21.42041779,454
22.60323334,375
23.78604889,309
24.96886444,231
26.15167999,170
27.33449554,140
28.5173111,123
29.70012665,67
30.8829422,51
32.06575775,43
33.2485733,37
34.43138885,31
35.61420441,24
36.79701996,11
37.97983551,9
39.16265106,8
40.34546661,7
41.52828217,5
42.71109772,3
45.07672882,2
46.25954437,2
47.44235992,2
50.99080658,4
52.17362213,1
53.35643768,2
56.90488434,1
58.08769989,1
60.45333099,1
71.09867096,1
