x,y
-156.19442749,1
-153.83892822,2
-151.48342896,4
-149.12792969,3
-146.77243042,2
-144.41691589,3
-142.06141663,3
-139.70591736,2
-137.35041809,4
-134.99491882,1
-132.63941956,2
-127.92841339,2
-123.21741486,3
-120.86191559,2
-118.50640869,1
-116.15090942,3
-113.79541016,2
-111.43991089,2
-109.08441162,9
-106.72890472,2
-104.37340546,3
-102.01790619,3
-99.66240692,5
-97.30690002,8
-94.95140076,8
-92.59590149,4
-90.24040222,13
-87.88490295,11
-85.52939606,17
-83.17389679,8
-80.81839752,17
-78.46289825,19
-76.10739136,23
-73.75189209,30
-71.39639282,49
-69.04089355,39
-66.68539429,49
-64.32988739,60
-61.97438812,82
-59.61888885,80
-57.26338577,77
-54.90788651,106
-52.55238724,124
-50.19688416,136
-47.84138489,142
-45.48588181,170
-43.13038254,235
-40.77487946,281
-38.41938019,317
-36.06387711,378
-33.70837784,441
-31.35287666,485
-28.99737549,556
-26.64187431,676
-24.28637505,733
-21.93087387,876
-19.5753727,1092
-17.21987152,1296
-14.86437035,1636
-12.50886917,2103
-10.15336895,3009
-7.79786777,4183
-5.4423666,7081
-3.0868659,14715
-0.73136485,30526
1.62413609,37521
3.97963715,13777
6.33513784,3803
8.69063854,1312
11.04613972,623
13.40164089,378
15.75714207,249
18.11264229,180
20.46814346,128
22.82364464,77
25.17914581,86
27.53464699,53
29.89014816,36
32.24564743,25
34.60115051,21
36.95664978,17
39.31215286,13
41.66765213,10
44.0231514,9
46.37865448,10
48.73415375,7
51.08965683,3
53.4451561,5
55.80065918,3
58.15615845,3
60.51165771,2
62.8671608,2
65.22266388,4
67.57816315,3
69.93366241,1
72.28916168,2
74.64466858,1
77.00016785,1
79.35566711,1
