x,y
-18.23407173,1
-17.77801514,1
-16.86590385,1
-16.40984726,2
-15.04167938,5
-14.58562279,8
-14.12956715,12
-13.67351151,22
-13.21745491,25
-12.76139927,37
-12.30534267,45
-11.84928703,60
-11.39323139,104
-10.9371748,149
-10.48111916,153
-10.02506351,192
-9.56900692,290
-9.11295128,348
-8.65689468,457
-8.20083904,544
-7.74478292,761
-7.28872728,924
-6.83267117,1176
-6.37661505,1630
-5.92055893,1990
-5.46450329,2539
-5.00844717,3133
-4.55239105,3764
-4.09633493,4409
-3.64027905,5379
-3.18422318,6046
-2.72816706,7124
-2.27211118,7808
-1.81605506,8258
-1.35999918,8665
-0.90394312,8708
-0.44788712,8523
0.00816888,8079
0.46422487,7259
0.92028087,6182
1.37633681,5258
1.83239293,4127
2.28844881,3446
2.74450493,2733
3.20056081,2066
3.65661693,1641
4.11267281,1229
4.56872892,1005
5.02478504,754
5.48084068,603
5.9368968,494
6.39295292,390
6.84900904,268
7.30506468,228
7.7611208,191
8.21717644,158
8.67323303,120
9.12928867,126
9.58534527,96
10.04140091,83
10.49745655,54
10.95351315,55
11.40956879,58
11.86562443,41
12.32168102,37
12.77773666,25
13.23379326,18
13.6898489,26
14.14590454,26
14.60196114,21
15.05801678,23
15.51407242,16
15.97012901,13
16.42618561,9
16.8822403,9
17.33829689,3
17.79435349,8
18.25040817,7
18.70646477,9
19.16252136,2
19.61857605,6
20.07463264,4
20.53068924,2
20.98674393,2
21.44280052,1
21.89885712,2
22.35491371,1
22.8109684,1
23.26702499,1
23.72308159,1
24.17913628,3
24.63519287,1
25.09124947,3
26.45941734,1
26.91547203,1
27.37152863,2
