x,y
-33.70470428,1
-33.01568985,1
-30.94864464,1
-30.2596283,1
-29.57061386,1
-27.50356674,2
-26.12553596,2
-25.43652153,3
-24.74750519,3
-24.05849075,6
-23.36947441,7
-22.68045998,6
-21.99144363,6
-21.3024292,9
-20.61341286,10
-19.92439842,11
-19.23538208,19
-18.54636765,26
-17.8573513,25
-17.16833687,40
-16.47932053,67
-15.79030609,95
-15.10128975,116
-14.41227531,160
-13.72325897,188
-13.03424454,226
-12.3452282,301
-11.65621376,364
-10.96719742,462
-10.27818298,560
-9.58916664,639
-8.90015221,836
-8.21113586,989
-7.52212095,1202
-6.83310556,1516
-6.14409018,1887
-5.45507479,2628
-4.7660594,3284
-4.07704401,4330
-3.38802862,5501
-2.69901323,7248
-2.00999784,9296
-1.32098246,12184
-0.63196707,15489
0.05704832,18528
0.74606371,19216
1.4350791,17156
2.12409449,13958
2.81310987,9705
3.50212526,6186
4.19114065,4044
4.88015604,2630
5.56917143,1743
6.25818682,1209
6.94720221,848
7.63621759,579
8.32523346,437
9.01424789,335
9.70326424,214
10.39227867,155
11.08129501,106
11.77030945,85
12.45932579,59
13.14834023,64
13.83735657,39
14.526371,30
15.21538734,22
15.90440178,23
16.59341812,19
17.28243256,14
17.9714489,8
18.66046333,5
19.34947968,6
20.03849411,4
20.72751045,3
21.41652489,5
22.10554123,7
22.79455566,2
23.48357201,3
24.17258644,2
24.86160278,4
25.55061722,2
26.23963356,1
26.92864799,3
27.61766434,10
28.30667877,2
28.99569511,4
29.68470955,1
30.37372589,3
31.06274033,2
31.75175667,2
33.12978745,1
33.81880188,4
35.19683456,2
