x,y
-37.98064804,2
-37.08745575,2
-36.19425964,5
-35.30106735,3
-34.40787506,4
-33.51467896,4
-32.62148666,6
-31.72829247,5
-30.83509827,10
-29.94190407,11
-29.04870987,21
-28.15551567,14
-27.26232147,18
-26.36912918,29
-25.47593498,24
-24.58274078,38
-23.68954659,41
-22.79635239,64
-21.90315819,62
-21.0099659,72
-20.1167717,102
-19.2235775,141
-18.3303833,137
-17.4371891,200
-16.5439949,277
-15.65080166,329
-14.75760746,473
-13.86441422,607
-12.97122002,846
-12.07802582,1170
-11.18483257,1479
-10.29163837,2160
-9.39844418,2545
-8.50524998,3507
-7.61205673,4556
-6.71886253,5727
-5.82566881,7404
-4.93247461,9578
-4.03928089,11933
-3.14608693,14736
-2.25289321,18741
-1.35969925,23766
-0.46650532,27405
0.42668858,27095
1.31988251,20016
2.21307635,12808
3.10627031,7686
3.99946427,4400
4.89265823,2466
5.78585196,1434
6.67904568,843
7.57223988,454
8.46543407,315
9.35862732,201
10.25182152,120
11.14501572,147
12.03820896,116
12.93140316,81
13.82459736,81
14.7177906,61
15.6109848,59
16.504179,59
17.3973732,54
18.2905674,55
19.18375969,53
20.07695389,41
20.97014809,52
21.86334229,45
22.75653648,35
23.64973068,37
24.54292297,18
25.43611717,22
26.32931137,23
27.22250557,29
28.11569977,11
29.00889397,13
29.90208817,14
30.79528046,13
31.68847466,14
32.58166885,11
33.47486115,11
34.36805725,5
35.26124954,5
36.15444565,10
37.04763794,8
37.94083405,5
38.83402634,6
39.72721863,10
40.62041473,5
41.51360703,3
42.40680313,5
43.29999542,4
44.19319153,1
45.08638382,1
45.97957611,1
46.87277222,3
49.55235291,1
50.4455452,1
51.3387413,1
