x,y
-28.58369446,2
-27.77742195,6
-26.97114944,4
-26.16487694,4
-25.35860443,11
-24.55233192,6
-23.74605751,12
-22.939785,19
-22.1335125,18
-21.32723999,19
-20.52096748,19
-19.71469498,28
-18.90842247,45
-18.10214806,73
-17.29587555,111
-16.48960304,143
-15.68333054,220
-14.87705803,283
-14.07078457,387
-13.26451206,573
-12.45823956,758
-11.65196609,1076
-10.84569359,1438
-10.03942108,2073
-9.23314762,2708
-8.42687511,3505
-7.62060213,4401
-6.81432962,5469
-6.00805664,6544
-5.20178413,8170
-4.39551115,10531
-3.58923841,12670
-2.78296542,14257
-1.97669268,16626
-1.17041993,18404
-0.3641471,18774
0.44212571,38980
1.24839854,16400
2.05467129,11201
2.86094403,6545
3.66721702,3885
4.47348976,2448
5.27976274,1625
6.08603525,1210
6.89230824,875
7.69858074,669
8.5048542,532
9.31112671,408
10.11739922,369
10.92367172,314
11.72994518,267
12.53621769,236
13.3424902,199
14.14876366,189
14.95503616,149
15.76130867,129
16.56758118,113
17.37385368,83
18.1801281,66
18.9864006,48
19.79267311,46
20.59894562,58
21.40521812,34
22.21149063,47
23.01776505,52
23.82403755,35
24.63031006,49
25.43658257,36
26.24285507,41
27.04912758,29
27.85540199,22
28.6616745,29
29.46794701,20
30.27421951,19
31.08049202,17
31.88676453,9
32.69303894,5
33.49930954,7
34.30558395,12
35.11185455,10
35.91812897,9
36.72440338,7
37.53067398,5
38.33694839,4
39.14321899,4
39.94949341,5
40.75576782,2
41.56203842,2
42.36831284,1
43.17458344,2
43.98085785,3
44.78712845,2
45.59340286,1
46.39967728,1
47.20594788,2
48.01222229,2
48.81849289,1
49.6247673,1
51.23731232,2
52.04358673,1
