x,y
-256.79849243,1
-253.7520752,1
-241.56637573,1
-238.51994324,3
-235.473526,3
-226.33424377,1
-223.28782654,1
-220.24139404,2
-214.14854431,2
-208.05569458,1
-205.00926208,1
-198.91641235,2
-192.82356262,2
-186.73071289,1
-183.6842804,1
-180.63786316,2
-174.54501343,1
-171.49858093,2
-168.45214844,1
-165.4057312,2
-147.12716675,2
-141.03431702,4
-137.98789978,1
-134.94146729,2
-128.84861755,3
-122.75576782,2
-119.70934296,1
-116.66291809,2
-113.61649323,1
-110.57006073,2
-107.52363586,3
-104.477211,1
-89.24508667,2
-83.15222931,5
-80.10580444,2
-74.01295471,1
-70.96652985,1
-64.87368011,2
-58.78082657,3
-55.73439789,6
-52.68797302,2
-49.64154816,4
-46.59512329,6
-43.54869461,6
-40.50226974,8
-37.45584488,4
-34.40942001,10
-31.36299324,13
-28.31656647,22
-25.2701416,23
-22.22371483,38
-19.17728996,98
-16.13086319,228
-13.08443832,838
-10.03801155,2946
-6.99158621,8595
-3.94516039,20906
-0.89873457,38808
2.14769125,77617
5.19411707,5132
8.24054337,1128
11.28696823,502
14.333395,280
17.37981987,158
20.42624664,134
23.47267151,89
26.51909828,67
29.56552315,64
32.61194992,42
35.65837479,21
38.70479965,13
41.75122833,9
44.7976532,8
47.84407806,2
