x,y
-4.44560242,2
-3.96818948,1
-3.80905175,1
-3.64991403,1
-3.49077654,2
-3.33163881,7
-3.17250109,8
-3.01336336,13
-2.85422587,25
-2.69508815,18
-2.53595042,31
-2.3768127,42
-2.21767521,51
-2.05853748,75
-1.89939976,136
-1.74026215,182
-1.58112442,224
-1.42198682,372
-1.26284909,476
-1.10371149,626
-0.94457376,1010
-0.78543615,1561
-0.62629843,2387
-0.46716079,3834
-0.30802312,6112
-0.14888546,8932
0.01025221,12657
0.16938987,15353
0.32852754,16402
0.48766521,14935
0.6468029,11892
0.80594051,8609
0.96507823,5954
1.12421584,4169
1.28335357,3044
1.44249117,2181
1.6016289,1666
1.76076651,1271
1.91990423,975
2.07904196,746
2.23817945,542
2.39731717,428
2.5564549,347
2.71559262,262
2.87473011,182
3.03386784,147
3.19300556,120
3.35214329,68
3.51128078,67
3.6704185,62
3.82955623,33
3.98869395,34
4.14783144,29
4.30696917,18
4.46610689,22
4.62524462,16
4.78438234,12
4.94352007,19
5.10265732,9
5.26179504,11
5.42093277,6
5.5800705,5
5.73920822,6
5.89834595,8
6.05748367,4
6.2166214,4
6.37575865,1
6.53489637,3
6.6940341,1
7.01230955,5
7.17144728,5
7.330585,2
7.48972273,5
7.64885998,3
7.96713543,2
8.12627316,3
8.28541088,1
8.44454861,4
8.60368633,6
8.76282406,6
8.92196178,2
9.08109951,1
9.24023724,3
9.39937496,2
9.55851173,4
9.87678719,3
10.03592491,1
10.19506264,3
10.35420036,2
10.51333809,2
10.67247581,1
10.83161354,2
11.14988899,1
11.30902672,1
11.46816444,1
