x,y
-136.72981262,1
-130.43328857,1
-117.84022522,1
-103.67303467,2
-102.09889984,1
-100.52477264,1
-92.65410614,1
-91.07997894,1
-84.78344727,2
-83.20931244,1
-78.48691559,1
-73.76451874,1
-72.19039154,1
-48.57840729,1
-47.00427628,1
-45.43014145,1
-42.28187943,1
-40.7077446,2
-39.13361359,1
-37.55948257,5
-34.41121674,4
-32.83708572,2
-31.2629528,4
-29.68881989,6
-28.11468887,7
-26.54055595,7
-24.96642303,8
-23.39229202,5
-21.8181591,8
-20.24402618,2
-18.66989517,5
-17.09576225,7
-15.52163029,8
-13.94749832,8
-12.37336636,14
-10.79923344,35
-9.22510147,87
-7.65096951,185
-6.07683706,546
-4.5027051,1764
-2.92857265,6554
-1.35444057,24719
0.21969163,46090
1.79382384,17137
3.36795616,2137
4.94208813,555
6.51622057,250
8.09035301,137
9.66448498,48
11.23861694,24
12.81274891,23
14.38688183,16
15.96101379,12
17.53514671,4
19.10927773,4
20.68341064,4
