x,y
-76.53726959,2
-75.49273682,1
-74.44819641,1
-72.35912323,1
-71.31458282,1
-70.27004242,2
-69.22550964,1
-68.18096924,2
-67.13643646,2
-66.09189606,6
-65.04735565,5
-64.00282288,3
-62.95828247,3
-61.91374588,9
-60.86920929,4
-59.82466888,6
-58.78013229,2
-57.7355957,8
-56.69105911,4
-55.64651871,5
-54.60198212,4
-53.55744553,6
-52.51290894,6
-51.46836853,5
-50.42383194,6
-49.37929535,5
-48.33475876,7
-47.29021835,4
-46.24568176,4
-45.20114517,8
-44.15660858,13
-43.11206818,15
-42.06753159,20
-41.022995,20
-39.9784584,24
-38.933918,28
-37.88938141,31
-36.84484482,28
-35.80030823,32
-34.75576782,46
-33.71123123,58
-32.66669464,59
-31.62215614,63
-30.57761955,55
-29.53308105,81
-28.48854446,94
-27.44400597,85
-26.39946938,99
-25.35493088,104
-24.31039429,142
-23.26585579,161
-22.2213192,185
-21.1767807,201
-20.13224411,222
-19.08770561,224
-18.04316902,281
-16.99863052,329
-15.95409393,422
-14.90955544,571
-13.86501884,671
-12.82048035,785
-11.77594376,982
-10.73140526,1191
-9.68686867,1608
-8.64233017,1948
-7.5977931,2368
-6.55325556,3121
-5.50871801,4095
-4.46418047,5306
-3.41964293,7574
-2.37510538,11593
-1.33056784,19295
-0.28603029,26111
0.75850725,16468
1.8030448,7354
2.84758234,3894
3.89211988,2587
4.93665743,1856
5.98119497,1497
7.02573252,1155
8.07027054,822
9.11480713,627
10.15934563,424
11.20388222,301
12.24842072,212
13.29295731,149
14.3374958,108
15.38203239,72
16.42657089,59
17.47110748,50
18.51564598,19
19.56018257,12
20.60472107,9
21.64925766,14
22.69379616,2
23.73833275,3
24.78287125,2
25.82740784,1
27.91648293,1
