x,y
-38.06430435,1
-36.59794235,1
-35.13158417,1
-34.39840317,1
-33.66522598,1
-32.93204498,5
-31.46568489,5
-30.7325058,2
-29.9993248,5
-29.26614571,7
-28.53296471,7
-27.79978561,6
-27.06660652,5
-26.33342552,5
-25.60024643,12
-24.86706734,10
-24.13388634,18
-23.40070724,14
-22.66752625,25
-21.93434715,20
-21.20116806,21
-20.46798706,26
-19.73480797,34
-19.00162888,34
-18.26844788,47
-17.53526878,49
-16.80208778,67
-16.06890869,88
-15.33572865,106
-14.60254955,129
-13.86936951,169
-13.13618946,222
-12.40300941,282
-11.66983032,337
-10.93665028,476
-10.20347023,621
-9.47029018,832
-8.73711109,1102
-8.00393105,1483
-7.270751,1876
-6.53757143,2436
-5.80439138,3041
-5.07121181,4038
-4.33803177,5152
-3.6048522,6213
-2.87167215,7758
-2.13849258,9438
-1.40531266,11234
-0.67213285,12555
0.06104696,13506
0.79422677,14011
1.52740657,13999
2.26058626,12934
2.99376631,10296
3.72694588,7638
4.46012592,5707
5.19330549,4333
5.92648554,3471
6.65966511,2751
7.39284515,2136
8.1260252,1612
8.85920429,1184
9.59238434,963
10.32556438,690
11.05874443,534
11.79192352,377
12.52510357,288
13.25828362,196
13.99146366,138
14.72464275,123
15.4578228,92
16.19100189,68
16.92418289,35
17.65736198,24
18.39054298,14
19.12372208,9
19.85690117,8
20.59008217,8
21.32326126,6
22.05644035,8
22.78962135,9
23.52280045,2
24.25598145,5
24.98916054,3
25.72233963,3
27.18869972,5
27.92187881,5
28.65505981,9
29.38823891,4
30.12141991,2
30.854599,3
31.58777809,2
32.32095718,1
33.05413818,3
33.78731918,3
34.52049637,1
35.25367737,2
