x,y
-26.35023499,1
-24.82658958,1
-23.81082535,1
-20.76353455,1
-20.25565338,1
-19.23988914,2
-18.73200798,6
-18.22412682,5
-17.71624565,6
-17.20836258,6
-16.70048141,3
-16.19260025,7
-15.68471813,9
-15.17683601,13
-14.6689539,6
-14.16107273,15
-13.65319061,25
-13.14530849,25
-12.63742733,33
-12.12954521,42
-11.62166405,48
-11.11378193,88
-10.60589981,112
-10.09801865,133
-9.59013653,166
-9.08225441,251
-8.57437325,315
-8.06649113,452
-7.55860949,544
-7.05072784,763
-6.5428462,959
-6.03496408,1286
-5.52708244,1599
-5.0192008,2037
-4.51131916,2552
-4.00343704,3356
-3.4955554,4406
-2.98767376,5618
-2.47979188,7012
-1.97191024,8591
-1.46402836,10321
-0.95614666,12548
-0.4482649,14213
0.05961686,15894
0.56749862,16725
1.07538033,16082
1.58326221,15137
2.09114385,13320
2.59902573,11229
3.10690737,9122
3.61478925,7682
4.12267113,6523
4.63055277,5345
5.13843441,4356
5.64631605,3530
6.15419817,2886
6.66207981,2315
7.16996145,1920
7.67784309,1450
8.18572521,1166
8.69360638,1007
9.20148849,808
9.70937061,650
10.21725178,520
10.7251339,382
11.23301601,320
11.74089718,235
12.2487793,176
12.75666046,143
13.26454258,103
13.7724247,84
14.28030586,67
14.78818798,41
15.2960701,42
15.80395126,37
16.31183243,27
16.8197155,23
17.32759666,10
17.83547783,6
18.3433609,3
18.85124207,1
19.35912323,3
20.37488747,3
21.89853287,2
22.40641403,3
22.9142952,2
23.42217827,1
24.4379406,2
