x,y
-27.45522499,1
-26.64936256,1
-25.84350204,2
-25.03763962,2
-24.23177719,1
-23.42591476,5
-22.62005234,2
-21.81419182,9
-21.00832939,8
-20.20246696,11
-19.39660454,9
-18.59074402,25
-17.78488159,19
-16.97901917,39
-16.17315674,64
-15.36729527,67
-14.56143284,93
-13.75557137,124
-12.94970894,175
-12.14384747,255
-11.33798504,313
-10.53212261,403
-9.72626114,506
-8.92039871,608
-8.11453724,778
-7.30867481,1057
-6.50281286,1360
-5.69695091,1747
-4.89108896,2471
-4.08522701,3384
-3.27936482,4614
-2.47350287,6013
-1.66764092,7970
-0.86177886,10688
-0.05591688,14308
0.74994516,40543
1.55580711,26226
2.36166906,21108
3.16753125,16653
3.9733932,12716
4.77925539,9964
5.58511734,7680
6.39097929,5944
7.19684124,4453
8.00270367,3295
8.80856514,2541
9.61442757,1831
10.42028904,1410
11.22615147,1060
12.03201294,750
12.83787537,585
13.64373684,470
14.44959927,377
15.25546169,332
16.06132317,297
16.86718559,189
17.67304802,166
18.47890854,123
19.28477097,110
20.09063339,98
20.89649582,87
21.70235825,63
22.50821877,66
23.31408119,60
24.11994362,69
24.92580605,60
25.73166656,61
26.53752899,51
27.34339142,35
28.14925385,50
28.95511627,35
29.76097679,31
30.56683922,36
31.37270164,19
32.17856216,21
32.98442459,14
33.79028702,20
34.59614944,20
35.40201187,11
36.2078743,16
37.01373672,11
37.81959915,7
38.62545776,6
39.43132019,13
40.23718262,5
41.04304504,4
41.84890747,3
42.6547699,3
43.46063232,4
44.26649475,2
45.07235718,3
45.87821579,5
46.68407822,4
47.48994064,1
48.29580307,4
49.1016655,2
49.90752792,1
51.51925278,2
52.3251152,2
53.13097763,1
