x,y
-19.40291023,1
-15.26667595,1
-14.34751225,1
-13.88793087,5
-13.42834949,2
-12.96876717,5
-12.50918579,9
-12.04960442,7
-11.59002304,8
-11.13044071,13
-10.67085934,25
-10.21127796,33
-9.75169563,39
-9.29211426,57
-8.83253288,84
-8.37295055,95
-7.91336918,142
-7.45378733,193
-6.99420595,235
-6.5346241,315
-6.07504272,394
-5.61546087,531
-5.15587902,688
-4.69629765,929
-4.23671579,1154
-3.77713418,1530
-3.31755257,1984
-2.85797071,2677
-2.3983891,3644
-1.93880749,4906
-1.47922575,6648
-1.01964414,8883
-0.56006241,11375
-0.10048077,14028
0.35910091,15752
0.81868255,16292
1.27826428,15085
1.7378459,13808
2.19742751,11977
2.65700936,10143
3.11659098,8585
3.57617259,7495
4.0357542,6572
4.49533606,5751
4.95491743,4900
5.41449928,3997
5.87408113,3556
6.33366251,3028
6.79324436,2513
7.25282621,2146
7.71240759,1871
8.17198944,1438
8.63157082,1262
9.09115314,986
9.55073452,821
10.0103159,661
10.46989727,558
10.9294796,420
11.38906097,347
11.84864235,280
12.30822468,209
12.76780605,186
13.22738743,117
13.68696976,97
14.14655113,87
14.60613251,68
15.06571484,48
15.52529621,38
15.98487759,28
16.44445992,16
16.90404129,7
17.36362267,7
17.82320404,9
18.28278542,5
18.7423687,4
19.20195007,3
19.66153145,1
20.12111282,3
20.5806942,2
21.04027557,1
21.49985695,1
21.95944023,1
22.87860298,4
23.33818436,1
23.79776573,5
24.25734711,1
24.71693039,2
25.63609314,1
26.55525589,1
