x,y
-38.29049301,1
-36.59113693,1
-35.74145889,4
-34.89178085,1
-34.04210281,3
-33.19242477,3
-32.34274673,2
-31.4930687,7
-30.64339066,2
-29.79371262,7
-28.94403458,14
-28.09435654,16
-27.2446785,34
-26.39500046,20
-25.54532242,29
-24.69564247,36
-23.84596443,35
-22.99628639,45
-22.14660835,48
-21.29693031,46
-20.44725227,58
-19.59757423,66
-18.74789619,78
-17.89821815,107
-17.04854012,144
-16.19886208,178
-15.34918404,192
-14.499506,238
-13.64982796,294
-12.80014992,379
-11.95047188,546
-11.10079384,756
-10.2511158,914
-9.40143776,1277
-8.55175972,1740
-7.7020812,2455
-6.85240316,3344
-6.00272512,4760
-5.15304708,6693
-4.30336905,8883
-3.45369101,11987
-2.60401273,15356
-1.75433469,19461
-0.90465665,24319
-0.05497852,28269
0.79469955,33729
1.64437771,23943
2.49405575,10601
3.34373379,6005
4.19341183,3607
5.04308987,2100
5.89276838,1254
6.74244642,791
7.59212446,491
8.44180202,326
9.29148102,215
10.14115906,157
10.9908371,104
11.84051514,70
12.69019318,56
13.53987122,47
14.38954926,17
15.23922729,18
16.08890533,19
16.93858337,15
17.78826141,17
18.63793945,21
19.48761749,15
20.33729553,16
21.18697357,11
22.03665161,3
22.88632965,10
23.73600769,4
24.58568573,5
25.43536377,5
26.28504181,8
27.13471985,7
27.98439789,4
28.83407593,4
29.68375587,5
30.53343391,3
31.38311195,3
32.23278809,3
33.08246613,4
33.93214417,4
34.7818222,1
35.63150024,5
36.48117828,3
37.33085632,2
38.18053436,3
39.0302124,1
39.87989044,8
41.57924652,5
43.27860641,3
44.12828445,2
45.82764053,1
46.67731857,1
