x,y
-18.07504654,1
-17.12607765,1
-16.80975533,1
-16.49343109,1
-16.17710876,1
-15.22813988,2
-14.59549427,2
-13.96284866,1
-13.64652538,3
-13.3302021,2
-13.01387978,1
-12.6975565,1
-12.38123322,3
-12.06491089,2
-11.74858761,3
-11.43226528,2
-11.115942,9
-10.79961872,5
-10.48329639,5
-10.16697311,10
-9.85064983,6
-9.53432751,9
-9.21800423,8
-8.9016819,9
-8.58535862,14
-8.26903534,17
-7.95271254,18
-7.63638973,12
-7.32006693,22
-7.00374413,30
-6.68742085,39
-6.37109804,34
-6.05477524,45
-5.73845243,59
-5.42212915,83
-5.10580635,81
-4.78948355,165
-4.47316074,169
-4.15683746,215
-3.84051466,300
-3.52419186,420
-3.20786881,548
-2.89154601,730
-2.57522297,1048
-2.25890017,1357
-1.94257712,1770
-1.62625432,2527
-1.30993128,3423
-0.99360842,4541
-0.67728549,6275
-0.36096257,8592
-0.04463965,11617
0.27168328,16179
0.5880062,20913
0.90432912,19117
1.2206521,11039
1.53697491,6005
1.85329795,3803
2.16962075,2402
2.48594379,1670
2.8022666,1096
3.11858964,673
3.43491244,480
3.75123549,235
4.06755829,176
4.38388109,137
4.70020437,69
5.01652718,43
5.33284998,47
5.64917278,27
5.96549606,27
6.28181887,22
6.59814167,18
6.91446447,15
7.23078775,12
7.54711056,9
7.86343336,6
8.17975616,8
8.49607944,7
8.81240177,7
9.12872505,5
9.44504833,4
9.76137066,4
10.07769394,4
10.39401722,3
10.71033955,2
11.02666283,6
11.34298515,1
11.65930843,1
11.97563171,3
12.29195404,1
12.60827732,2
12.9246006,1
13.55724621,2
