x,y
-11.90367889,6
-11.30806065,4
-10.71244335,10
-10.1168251,16
-9.52120781,18
-8.92559052,9
-8.32997227,4
-7.7343545,9
-7.1387372,4
-6.54311943,5
-5.94750166,6
-5.35188389,10
-4.75626612,14
-4.16064835,16
-3.56503081,62
-2.96941304,114
-2.37379527,267
-1.77817762,701
-1.18255985,1614
-0.5869422,2874
0.00867555,5084
0.60429323,8213
1.199911,11723
1.79552865,13526
2.39114642,12817
2.98676419,10188
3.58238173,7619
4.1779995,6041
4.77361727,4847
5.36923504,3945
5.96485281,3302
6.56047058,2956
7.15608788,2390
7.75170565,2244
8.34732342,1997
8.94294167,1948
9.53855896,1897
10.13417625,1797
10.7297945,1653
11.3254118,1594
11.92103004,1496
12.51664734,1307
13.11226559,1229
13.70788288,1183
14.30350018,1122
14.89911842,1008
15.49473572,943
16.09035301,867
16.68597221,746
17.28158951,668
17.8772068,612
18.4728241,593
19.06844139,526
19.66406059,420
20.25967789,381
20.85529518,348
21.45091248,317
22.04653168,302
22.64214897,261
23.23776627,209
23.83338356,228
24.42900085,192
25.02462006,174
25.62023735,146
26.21585464,140
26.81147194,137
27.40709114,127
28.00270844,107
28.59832573,107
29.19394302,77
29.78956032,77
30.38517952,75
30.98079681,58
31.57641411,53
32.1720314,36
32.7676506,44
33.36326599,34
33.95888519,37
34.55450439,39
35.15011978,37
35.74573898,25
36.34135437,19
36.93697357,21
37.53259277,18
38.12820816,10
38.72382736,15
39.31944275,9
39.91506195,6
40.51068115,11
41.10629654,5
41.70191574,4
42.29753494,3
42.89315033,1
43.48876953,2
44.08438492,3
45.27562332,1
46.46685791,1
47.6580925,1
