x,y
-44.67663956,1
-43.0542717,1
-41.43190384,3
-38.18716812,2
-36.56480026,3
-34.9424324,1
-33.32006454,3
-31.69769478,6
-30.07532692,7
-28.45295906,7
-26.8305912,4
-25.20822144,12
-23.58585358,11
-21.96348572,27
-20.34111786,34
-18.71875,48
-17.09638214,84
-15.47401333,125
-13.85164547,160
-12.22927761,251
-10.60690975,445
-8.98454094,770
-7.36217308,1315
-5.73980522,2442
-4.11743689,4773
-2.49506903,9939
-0.87270081,18493
0.74966729,25004
2.3720355,21767
3.99440336,13010
5.6167717,6725
7.23913956,3459
8.86150742,1848
10.48387623,897
12.10624409,537
13.72861195,331
15.3509798,213
16.97334862,131
18.59571648,114
20.21808434,54
21.84045219,47
23.46282005,41
25.08518791,23
26.70755768,25
28.32992554,21
29.9522934,20
31.57466125,20
33.19702911,14
34.81939697,12
36.44176483,14
38.06413269,18
39.68650055,12
41.30886841,7
42.93123627,11
44.55360413,12
46.1759758,11
47.79834366,16
49.42071152,8
51.04307938,5
52.66544724,7
54.28781509,10
55.91018295,3
57.53255081,11
59.15491867,5
60.77728653,10
62.39965439,1
64.02202606,5
65.64439392,3
67.26676178,6
68.88912964,3
70.5114975,3
72.13386536,1
81.86807251,2
83.49044037,2
86.73517609,1
88.35754395,1
94.84701538,1
99.71411896,1
104.58122253,2
117.56017303,1
