x,y
-40.17420959,1
-37.75937653,3
-36.95442963,2
-36.14948273,1
-35.34453964,4
-34.53959274,6
-33.73464966,3
-32.92970276,2
-32.12475967,4
-31.31981277,4
-30.51486778,9
-29.70992279,5
-28.9049778,13
-28.10003281,13
-27.29508591,27
-26.49014091,21
-25.68519592,30
-24.88025093,28
-24.07530594,28
-23.27036095,47
-22.46541595,77
-21.66047096,82
-20.85552406,116
-20.05057907,161
-19.24563408,189
-18.44068909,237
-17.63574409,285
-16.8307991,371
-16.02585411,521
-15.22090816,606
-14.41596317,806
-13.61101818,953
-12.80607224,1217
-12.00112724,1607
-11.19618225,2020
-10.39123726,2486
-9.58629131,3111
-8.78134632,3970
-7.97640133,4792
-7.17145586,5559
-6.36651087,6685
-5.5615654,8070
-4.75662041,9497
-3.95167494,10909
-3.14672995,12202
-2.34178448,13828
-1.53683937,14759
-0.73189414,15333
0.0730511,15556
0.87799633,14792
1.68294156,13577
2.48788691,12072
3.2928319,9966
4.09777737,7821
4.90272236,5964
5.70766783,4473
6.51261282,3281
7.31755829,2310
8.12250328,1721
8.92744827,1257
9.73239422,870
10.53733921,618
11.3422842,454
12.14722919,278
12.95217514,274
13.75712013,206
14.56206512,154
15.36701012,99
16.17195511,87
16.9769001,81
17.781847,57
18.58679199,42
19.39173698,38
20.19668198,29
21.00162697,20
21.80657196,21
22.61151695,16
23.41646194,15
24.22140884,12
25.02635384,15
25.83129883,8
26.63624382,6
27.44118881,11
28.2461338,5
29.0510788,11
29.85602379,5
30.66097069,7
31.46591568,4
32.27085876,1
33.07580566,5
33.88075256,3
34.68569565,4
35.49064255,2
36.29558563,2
37.10053253,1
37.90547562,4
38.71042252,4
40.3203125,2
