x,y
-56.50552368,1
-55.38607788,3
-53.14718246,1
-52.02773666,1
-50.90829086,1
-49.78884506,7
-48.66939926,2
-47.54995346,1
-46.43050766,2
-45.31105804,4
-44.19161224,2
-43.07216644,5
-41.95272064,4
-40.83327484,4
-39.71382904,3
-38.59437943,3
-37.47493362,8
-36.35548782,3
-34.11659622,6
-32.99715042,10
-31.87770271,10
-30.75825691,11
-29.6388092,13
-28.5193634,20
-27.3999176,21
-26.28046989,31
-25.16102409,39
-24.04157829,50
-22.92213058,70
-21.80268478,82
-20.68323898,108
-19.56379318,150
-18.44434547,213
-17.32489967,289
-16.20545387,420
-15.08600712,604
-13.96656036,830
-12.84711361,1288
-11.72766781,1792
-10.60822105,2551
-9.4887743,3450
-8.3693285,4758
-7.24988174,6315
-6.13043547,8200
-5.01098919,10622
-3.89154267,13263
-2.7720964,15962
-1.65264988,18359
-0.53320354,20407
0.58624285,21101
1.70568919,19139
2.82513571,16901
3.94458199,13616
5.06402826,10433
6.18347502,7718
7.3029213,5553
8.42236805,3714
9.54181385,2526
10.6612606,1717
11.78070641,1184
12.90015316,870
14.01959991,602
15.13904572,465
16.25849152,319
17.37793922,253
18.49738503,193
19.61683083,131
20.73627853,108
21.85572433,92
22.97517014,58
24.09461784,50
25.21406364,43
26.33350945,27
27.45295715,27
28.57240295,20
29.69184875,12
30.81129646,9
31.93074226,10
33.05018997,9
34.16963577,8
35.28908157,7
36.40852737,2
37.52797318,7
38.64741898,1
39.76686859,3
40.88631439,2
42.00576019,3
43.12520599,3
44.24465179,2
45.3640976,3
46.4835434,3
47.60299301,3
48.72243881,3
49.84188461,2
50.96133041,3
52.08077621,2
53.20022202,1
54.31967163,2
55.43911743,2
