x,y
-29.38800621,2
-28.83198929,1
-27.71995354,1
-27.16393661,4
-26.60791779,1
-26.05190086,1
-25.49588203,7
-24.93986511,1
-24.38384628,7
-23.82782936,8
-23.27181053,11
-22.71579361,14
-22.15977669,12
-21.60375786,21
-21.04774094,20
-20.49172211,31
-19.93570518,29
-19.37968636,29
-18.82366943,45
-18.26765251,58
-17.71163368,57
-17.15561676,70
-16.59959793,131
-16.04358101,136
-15.48756313,191
-14.93154526,214
-14.37552738,304
-13.81950951,389
-13.26349163,463
-12.70747375,555
-12.15145588,713
-11.59543896,852
-11.03942108,1082
-10.48340321,1273
-9.92738533,1508
-9.37136745,1806
-8.81534958,2123
-8.2593317,2646
-7.7033143,2943
-7.14729643,3569
-6.59127855,4111
-6.03526115,4616
-5.47924328,5441
-4.9232254,5945
-4.36720753,6583
-3.81118989,7074
-3.25517225,7541
-2.69915438,8235
-2.14313674,8580
-1.58711886,8870
-1.03110123,9209
-0.47508341,9108
0.08093435,30078
0.6369521,8718
1.1929698,8454
1.74898767,8357
2.30500531,8432
2.86102319,8125
3.41704082,7348
3.9730587,6381
4.52907658,5346
5.08509398,4368
5.64111185,3336
6.19712973,2627
6.7531476,1944
7.309165,1652
7.86518288,1320
8.42120075,983
8.97721863,682
9.5332365,486
10.08925438,357
10.6452713,277
11.20128918,236
11.75730705,175
12.31332493,140
12.8693428,100
13.42536068,78
13.98137856,77
14.53739643,51
15.09341335,38
15.64943123,26
16.20545006,22
16.76146698,12
17.3174839,10
17.87350273,6
18.42951965,8
18.98553848,3
19.5415554,6
20.09757423,10
20.65359116,7
21.20960999,5
21.76562691,5
22.32164383,5
22.87766266,6
23.43367958,5
23.98969841,2
24.54571533,8
25.10173416,5
25.65775108,1
26.21376801,2
