x,y
-40.3111763,2
-39.75704193,3
-38.64877701,6
-38.09464264,1
-35.87810898,3
-35.32397461,1
-34.76984406,3
-34.21570969,2
-31.44504356,3
-30.33677673,3
-29.78264427,2
-29.2285099,2
-28.67437744,6
-28.12024307,6
-27.56611061,4
-27.01197815,6
-26.45784378,10
-25.90371132,16
-25.34957695,19
-24.79544449,24
-24.24131203,21
-23.68717766,23
-23.1330452,32
-22.57891083,34
-22.02477837,31
-21.470644,47
-20.91651154,54
-20.36237907,76
-19.80824471,43
-19.25411224,66
-18.69997787,76
-18.14584541,79
-17.59171295,78
-17.03757858,104
-16.48344612,97
-15.92931271,131
-15.37517929,123
-14.82104588,159
-14.26691246,188
-13.71278,192
-13.15864658,255
-12.60451317,262
-12.05037975,299
-11.49624634,325
-10.94211388,360
-10.38798046,408
-9.83384705,399
-9.27971363,525
-8.72558022,579
-8.1714468,634
-7.61731386,786
-7.06318092,883
-6.50904751,951
-5.95491409,1092
-5.40078115,1331
-4.84664774,1541
-4.2925148,1746
-3.73838139,2065
-3.18424821,2415
-2.63011479,3066
-2.07598162,3604
-1.52184844,4735
-0.96771514,6037
-0.41358194,7599
0.1405513,9574
0.69468451,11483
1.2488178,12379
1.80295098,11991
2.35708427,10240
2.91121745,8360
3.46535063,6258
4.01948404,4483
4.57361698,3060
5.1277504,2097
5.68188381,1447
6.23601675,872
6.79015017,595
7.34428358,389
7.89841652,264
8.45254993,193
9.00668335,139
9.56081676,99
10.11494923,74
10.66908264,48
11.22321606,21
11.77734947,21
12.33148289,13
12.88561535,6
13.43974876,4
13.99388218,3
14.54801559,2
15.10214901,2
