x,y
-66.24653625,2
-63.65542984,1
-61.06431961,2
-60.20061874,2
-59.33691406,1
-58.47320938,1
-57.60950851,2
-56.74580383,3
-55.88210297,5
-55.01839828,3
-53.29099274,6
-52.42728806,2
-51.56358719,3
-50.69988251,5
-49.83617783,7
-48.97247696,6
-48.10877228,4
-47.24507141,5
-46.38136673,3
-45.51766205,6
-44.65396118,3
-43.7902565,4
-42.92655563,4
-42.06285095,4
-41.19914627,3
-40.3354454,5
-39.47174072,4
-38.60803986,4
-37.74433517,6
-36.88063431,2
-36.01692963,3
-35.15322495,2
-34.28952408,3
-33.4258194,2
-32.56211853,9
-31.69841385,2
-30.83471107,5
-29.9710083,7
-29.10730362,4
-28.24360085,4
-27.37989807,7
-26.5161953,6
-25.65249252,6
-24.78878784,6
-23.92508507,6
-23.06138229,12
-22.19767952,3
-21.33397675,8
-20.47027206,6
-19.60656929,13
-18.74286652,10
-17.87916374,14
-17.01546097,20
-16.15175819,38
-15.28805447,44
-14.42435074,52
-13.56064796,71
-12.69694519,107
-11.83324146,153
-10.96953869,196
-10.10583496,341
-9.24213219,465
-8.37842941,563
-7.51472616,830
-6.65102291,1070
-5.78731966,1462
-4.92361641,2054
-4.05991364,2963
-3.19621038,4212
-2.33250713,5798
-1.46880412,8413
-0.60510093,12525
0.2586022,17391
1.12230539,20272
1.98600841,18950
2.84971166,13673
3.71341467,7787
4.57711792,4101
5.44082117,2287
6.30452394,1247
7.1682272,657
8.03192997,322
8.8956337,203
9.75933647,121
10.6230402,88
11.48674297,56
12.35044575,30
13.21414948,24
14.07785225,12
14.94155502,11
15.80525875,7
16.66896248,5
17.53266525,5
18.39636803,3
20.12377357,2
