x,y
-102.63605499,1
-99.37969208,1
-97.75151062,2
-96.12332916,1
-94.49514771,2
-92.86696625,1
-87.98242188,1
-86.35424042,2
-83.0978775,1
-81.46969604,6
-79.84151459,1
-78.21333313,6
-76.58515167,3
-74.95697021,5
-73.32878876,7
-71.7006073,10
-70.07242584,8
-68.44424438,12
-66.81606293,10
-65.18788147,13
-63.55970001,12
-61.93151855,14
-60.3033371,9
-58.67515564,22
-57.04697418,15
-55.41879272,23
-53.79061127,17
-52.16242981,18
-50.53424835,22
-48.90606689,31
-47.27788544,39
-45.64970398,39
-44.02152252,35
-42.39334106,61
-40.76515961,65
-39.13697815,57
-37.50879669,68
-35.88061523,87
-34.25243378,93
-32.62425232,100
-30.99607277,136
-29.36789131,130
-27.73970985,141
-26.1115284,174
-24.48334694,213
-22.85516548,245
-21.22698402,249
-19.59880257,326
-17.97062111,384
-16.34243965,485
-14.71425915,637
-13.08607769,865
-11.45789623,1145
-9.82971478,1717
-8.20153332,2528
-6.57335234,3557
-4.94517088,5134
-3.31698966,7466
-1.6888082,11855
-0.06062692,20139
1.56755447,26291
3.19573569,17985
4.82391691,9543
6.45209837,5644
8.08027935,3672
9.70846081,2434
11.33664227,1748
12.96482372,1183
14.59300518,979
16.22118568,613
17.84936714,434
19.4775486,340
21.10573006,223
22.73391151,200
24.36209297,128
25.99027443,110
27.61845589,98
29.24663734,57
30.8748188,46
32.50299835,30
34.13117981,30
35.75936127,22
37.38754272,9
39.01572418,8
40.64390564,10
42.2720871,7
43.90026855,3
45.52845001,5
47.15663147,4
48.78481293,2
50.41299438,5
52.04117584,5
53.6693573,1
55.29753876,2
56.92572021,2
58.55390167,1
60.18208313,1
