x,y
-121.50006104,1
-118.84252167,3
-116.18497467,2
-113.5274353,2
-108.21234131,4
-105.55480194,3
-102.89725494,4
-100.23971558,2
-97.58216858,5
-94.92462921,5
-92.26708221,5
-89.60953522,4
-86.95199585,8
-84.29444885,6
-81.63690948,11
-78.97936249,12
-76.32182312,17
-73.66427612,25
-71.00673676,24
-68.34918976,24
-65.69164276,24
-63.03410339,41
-60.37656021,46
-57.71901321,31
-55.06147003,39
-52.40392685,49
-49.74638367,64
-47.08884048,73
-44.4312973,84
-41.77375412,117
-39.11621094,170
-36.45866394,178
-33.80112076,213
-31.14357758,274
-28.48603439,333
-25.82849121,472
-23.17094803,644
-20.51340294,783
-17.85585976,1032
-15.19831657,1403
-12.54077244,2100
-9.88322926,3620
-7.22568512,6409
-4.56814194,12503
-1.91059804,20070
0.74694562,25411
3.40448928,21379
6.0620327,9990
8.71957684,4720
11.37712002,2348
14.03466415,1254
16.69220734,770
19.34975052,481
22.00729561,294
24.66483879,236
27.32238197,149
29.97992516,109
32.63747025,75
35.29501343,55
37.95255661,58
40.61009979,54
43.26764297,39
45.92518616,33
48.58273315,28
51.24027634,39
53.89781952,20
56.5553627,18
59.21290588,14
61.87044907,15
64.52799225,11
67.18553925,15
69.84307861,1
72.50062561,6
75.15816498,3
77.81571198,5
80.47325897,3
83.13079834,5
85.78834534,3
93.76097107,3
96.41851807,1
101.73360443,1
104.39115143,2
107.0486908,1
109.70623779,1
112.36377716,1
115.02132416,1
128.30903625,1
144.25430298,1
