x,y
-26.5215416,1
-25.68927956,1
-24.85701942,2
-24.02475929,1
-23.19249725,2
-22.36023712,3
-21.52797699,1
-20.69571495,3
-19.86345482,5
-19.03119278,11
-18.19893265,13
-17.36667252,24
-16.53441048,31
-15.70215034,30
-14.86988926,66
-14.03762817,79
-13.20536804,104
-12.37310696,141
-11.54084587,179
-10.70858479,258
-9.87632465,407
-9.04406357,487
-8.21180248,624
-7.37954187,823
-6.54728079,1009
-5.71502018,1373
-4.88275909,1751
-4.05049849,2093
-3.2182374,2686
-2.38597679,3168
-1.55371583,3743
-0.72145498,4431
0.11080587,4890
0.94306672,5530
1.77532756,6030
2.60758829,6515
3.43984938,6688
4.27210999,6991
5.10437107,6908
5.93663168,6649
6.76889277,6631
7.60115337,6118
8.43341446,5841
9.26567554,5268
10.09793568,4655
10.93019676,4142
11.76245785,3640
12.59471893,3174
13.42697906,2563
14.25924015,2299
15.09150124,1907
15.92376232,1627
16.75602341,1395
17.58828354,1130
18.42054367,982
19.25280571,820
20.08506584,734
20.91732788,600
21.74958801,475
22.58184814,374
23.41411018,317
24.24637032,281
25.07863045,214
25.91089249,203
26.74315262,160
27.57541466,133
28.40767479,129
29.23993492,82
30.07219696,76
30.90445709,61
31.73671722,78
32.56897736,58
33.4012413,51
34.23350143,39
35.06576157,41
35.8980217,38
36.73028183,20
37.56254578,23
38.39480591,30
39.22706604,24
40.05932617,24
40.8915863,21
41.72384644,13
42.55611038,12
43.38837051,6
44.22063065,3
45.05289078,13
45.88515091,6
46.71741486,6
47.54967499,4
48.38193512,4
49.21419525,4
50.04645538,4
50.87871933,6
51.71097946,1
52.54323959,1
54.20775986,1
55.04001999,3
55.87228394,3
56.70454407,2
