x,y
-31.19345474,1
-30.51934624,3
-29.84523773,3
-29.17112732,3
-28.49701881,2
-27.82291031,3
-27.1487999,2
-26.47469139,5
-25.80058289,7
-25.12647247,7
-24.45236397,2
-23.77825546,5
-23.10414505,7
-22.43003654,11
-21.75592804,12
-21.08181763,16
-20.40770912,32
-19.73359871,37
-19.0594902,45
-18.3853817,49
-17.71127129,56
-17.03716278,87
-16.36305428,94
-15.68894482,109
-15.01483536,181
-14.3407259,164
-13.66661739,222
-12.99250793,261
-12.31839848,347
-11.64428997,415
-10.97018051,605
-10.29607105,692
-9.62196255,861
-8.94785309,1073
-8.27374363,1282
-7.59963465,1562
-6.92552567,1960
-6.25141621,2352
-5.57730722,3110
-4.90319824,3658
-4.22908878,4625
-3.5549798,5826
-2.88087058,6958
-2.20676136,8285
-1.53265226,9818
-0.85854316,11268
-0.18443397,12402
0.48967519,13744
1.16378438,14674
1.83789349,15203
2.51200271,15271
3.18611193,14872
3.86022091,13610
4.53433037,11440
5.20843935,9526
5.88254833,7451
6.55665779,5736
7.23076677,4321
7.90487576,3291
8.57898521,2483
9.25309467,1694
9.92720318,1227
10.60131264,829
11.2754221,630
11.9495306,516
12.62364006,373
13.29774952,301
13.97185802,278
14.64596748,170
15.32007694,140
15.99418545,126
16.66829491,88
17.34240341,79
18.01651382,69
18.69062233,45
19.36473083,39
20.03884125,39
20.71294975,25
21.38705826,17
22.06116867,14
22.73527718,20
23.40938759,10
24.08349609,13
24.7576046,12
25.43171501,14
26.10582352,3
26.77993202,9
27.45404243,4
28.12815094,9
28.80225945,6
29.47636986,5
30.15047836,2
30.82458687,3
31.49869728,1
32.8469162,2
33.5210228,1
36.21746063,1
