x,y
-16.58640862,1
-15.58910084,2
-15.25666523,1
-14.92422962,2
-14.59179401,1
-14.25935841,1
-13.92692184,1
-13.59448624,4
-13.26205063,1
-12.92961502,2
-12.59717941,1
-12.26474285,1
-11.93230724,3
-11.26743603,3
-10.93500042,1
-10.60256481,5
-10.27012825,5
-9.93769264,6
-9.60525703,2
-9.27282143,6
-8.94038582,6
-8.60794926,11
-8.27551365,12
-7.94307804,10
-7.61064243,15
-7.27820635,16
-6.94577074,25
-6.61333513,29
-6.28089905,28
-5.94846344,35
-5.61602736,40
-5.28359175,46
-4.95115614,63
-4.61872005,70
-4.28628445,90
-3.9538486,103
-3.62141275,142
-3.28897715,202
-2.9565413,199
-2.62410545,284
-2.29166961,335
-1.95923388,462
-1.62679815,578
-1.29436231,714
-0.96192658,954
-0.62949073,1372
-0.29705498,1788
0.03538081,2453
0.3678166,3255
0.70025241,4559
1.03268814,6203
1.36512399,8336
1.69755971,10421
2.02999544,11644
2.36243129,12531
2.69486713,11840
3.02730298,10739
3.35973859,9395
3.69217443,7891
4.02461004,6049
4.35704613,4424
4.68948174,3170
5.02191782,2247
5.35435343,1628
5.68678904,1196
6.01922512,888
6.35166073,633
6.68409634,416
7.01653242,290
7.34896803,150
7.68140411,130
8.01383972,74
8.34627533,63
8.67871094,40
9.0111475,37
9.34358311,22
9.67601871,27
10.00845432,12
10.34088993,13
10.67332554,9
11.0057621,6
11.33819771,4
11.67063332,10
12.00306892,6
12.33550453,2
12.66794109,4
13.0003767,4
13.33281231,3
13.66524792,4
13.99768353,3
14.33012009,4
14.9949913,1
15.32742691,1
15.65986252,2
16.65716934,1
