x,y
-7.72542667,1
-7.37032175,2
-6.6601119,3
-6.30500746,2
-5.94990253,7
-5.59479761,10
-5.23969269,12
-4.88458824,13
-4.52948332,16
-4.1743784,15
-3.81927371,16
-3.46416879,31
-3.1090641,38
-2.75395918,64
-2.39885449,103
-2.04374957,153
-1.68864489,262
-1.33353996,462
-0.97843522,737
-0.62333041,1146
-0.26822561,1798
0.08687919,2830
0.441984,4295
0.7970888,6322
1.15219355,8928
1.50729847,11777
1.86240315,13885
2.21750808,14570
2.57261276,14041
2.92771769,12273
3.28282237,10036
3.63792729,7623
3.99303198,5522
4.3481369,3887
4.70324183,2755
5.05834627,1706
5.41345119,1177
5.76855612,668
6.12366104,542
6.47876549,335
6.83387041,214
7.18897533,133
7.54408026,90
7.8991847,45
8.25428963,42
8.60939407,33
8.96449947,32
9.31960392,21
9.67470932,25
10.02981377,8
10.38491821,4
10.74002361,12
11.09512806,7
11.45023251,8
11.80533791,3
12.16044235,3
12.51554775,6
12.8706522,4
13.22575665,4
13.58086205,2
13.93596649,7
14.29107094,4
14.64617634,14
15.00128078,7
15.35638618,4
15.71149063,6
16.06659508,2
16.42169952,5
16.77680588,3
17.13191032,8
17.48701477,11
17.84211922,1
18.19722366,3
18.55232811,5
18.90743446,5
19.26253891,1
19.61764336,2
19.9727478,2
20.32785225,1
20.6829586,3
21.03806305,2
21.3931675,1
21.74827194,1
22.45848274,1
22.81358719,1
23.16869164,2
23.52379608,1
23.87890053,1
24.58911133,3
24.94421577,1
25.65442467,2
26.00952911,2
26.36463547,2
26.71973991,1
27.78505325,3
