x,y
-27.86364174,1
-27.13954544,2
-26.41545105,2
-25.69135475,6
-24.96726036,5
-24.24316406,3
-23.51906967,7
-22.79497337,8
-22.07087708,7
-21.34678268,3
-20.62268639,10
-19.898592,12
-19.1744957,17
-18.45040131,21
-17.72630501,14
-17.00221062,30
-16.27811432,29
-15.55401897,37
-14.82992363,62
-14.10582829,71
-13.38173294,118
-12.6576376,141
-11.93354225,222
-11.20944691,315
-10.48535156,491
-9.76125622,676
-9.03716087,1086
-8.31306553,1531
-7.58896971,2245
-6.86487436,3094
-6.14077902,3901
-5.41668367,5076
-4.69258833,5862
-3.96849298,6774
-3.2443974,7327
-2.52030206,7551
-1.79620671,7615
-1.07211125,7077
-0.34801587,6602
0.37607953,5870
1.1001749,5150
1.82427037,4268
2.54836583,3626
3.27246118,2845
3.99655652,2328
4.7206521,1837
5.44474745,1390
6.16884279,1109
6.89293814,834
7.61703348,624
8.3411293,550
9.06522465,396
9.78931999,316
10.51341534,247
11.23751068,211
11.96160603,181
12.68570137,172
13.40979671,113
14.13389206,86
14.8579874,79
15.58208275,77
16.30617905,56
17.03027344,51
17.75436974,40
18.47846413,31
19.20256042,18
19.92665482,16
20.65075111,19
21.3748455,17
22.0989418,17
22.82303619,13
23.54713249,3
24.27122879,8
24.99532318,3
25.71941948,7
26.44351387,6
27.16761017,3
27.89170456,3
28.61580086,3
29.33989525,3
30.06399155,2
30.78808594,3
31.51218224,4
32.23627853,1
32.96037292,4
33.68446732,2
34.40856171,3
35.13265991,1
35.8567543,1
37.3049469,2
38.02904129,2
38.75313568,1
39.47723007,1
43.09770966,1
44.54589844,1
