x,y
-11.22918797,5
-10.82289028,4
-10.41659355,6
-10.01029587,6
-9.60399818,9
-9.19770145,10
-8.79140377,16
-8.38510609,15
-7.97880888,25
-7.57251167,21
-7.16621447,18
-6.75991678,31
-6.35361958,40
-5.94732189,50
-5.54102468,67
-5.13472748,88
-4.72842979,144
-4.32213259,166
-3.91583514,192
-3.5095377,261
-3.10324049,344
-2.69694304,449
-2.2906456,582
-1.88434827,716
-1.47805083,1015
-1.0717535,1319
-0.66545606,1574
-0.2591587,1891
0.14713868,2148
0.55343604,2610
0.95973349,3345
1.36603081,3910
1.77232826,5024
2.17862558,6538
2.58492303,8133
2.99122047,9278
3.39751768,9961
3.80381513,10249
4.21011257,9315
4.61640978,8311
5.02270746,7183
5.42900467,6155
5.83530188,5108
6.24159956,4167
6.64789677,3304
7.05419445,2699
7.46049166,2196
7.86678886,1794
8.27308655,1384
8.67938423,1228
9.08568096,922
9.49197865,786
9.89827633,684
10.30457306,568
10.71087074,415
11.11716843,341
11.52346516,289
11.92976284,228
12.33606052,183
12.74235725,166
13.14865494,124
13.55495262,125
13.96124935,93
14.36754704,82
14.77384472,82
15.1801424,61
15.58643913,46
15.99273682,46
16.3990345,38
16.80533218,19
17.21162796,26
17.61792564,8
18.02422333,17
18.43052101,3
18.8368187,11
19.24311638,6
19.64941406,4
20.05570984,9
20.46200752,6
20.86830521,3
21.68090057,3
22.08719826,1
22.49349403,1
22.89979172,2
23.71238708,2
24.52498245,1
25.7438736,1
26.15017128,2
26.55646896,1
26.96276665,1
27.36906433,2
27.77536011,1
28.18165779,2
28.58795547,1
28.99425316,1
29.40055084,1
