x,y
-114.62179565,2
-112.76940918,1
-110.91702271,6
-109.06463623,3
-107.21225739,2
-105.35987091,2
-103.50748444,1
-101.65509796,2
-99.80271149,4
-97.95032501,2
-96.09793854,4
-94.24555969,3
-92.39317322,3
-90.54078674,3
-88.68840027,4
-86.83601379,6
-84.98362732,8
-83.13124084,3
-81.278862,13
-79.42647552,8
-77.57408905,15
-75.72170258,12
-73.8693161,18
-72.01692963,12
-70.16454315,15
-68.31216431,20
-66.45977783,16
-64.60739136,17
-62.75500488,22
-60.90261841,21
-59.05023575,30
-57.19784927,33
-55.3454628,51
-53.49307632,43
-51.64069366,57
-49.78830719,76
-47.93592072,84
-46.08353806,81
-44.23115158,84
-42.37876511,121
-40.52637863,101
-38.67399597,104
-36.8216095,118
-34.96922302,110
-33.11684036,150
-31.26445389,162
-29.41206741,211
-27.55968285,180
-25.70729637,258
-23.8549118,301
-22.00252533,349
-20.15014076,431
-18.2977562,516
-16.44536972,516
-14.5929842,694
-12.74059868,776
-10.88821411,1007
-9.03582859,1431
-7.18344307,2153
-5.33105755,3857
-3.47867203,8417
-1.62628675,21540
0.22609872,56889
2.07848406,20098
3.93086958,5122
5.7832551,1937
7.63564014,883
9.48802567,474
11.34041119,213
13.19279671,124
15.04518223,84
16.89756775,59
18.74995232,28
20.60233879,31
22.45472336,13
24.30710983,18
26.1594944,12
28.01187897,15
29.86426544,7
31.71665001,5
33.56903458,2
35.42142105,1
39.126194,2
40.97857666,1
42.83096313,1
44.68334961,3
46.53573227,3
48.38811874,1
55.79766083,2
59.50242996,1
65.05958557,1
70.616745,1
