x,y
-20.05054283,1
-18.94132805,2
-18.57159042,2
-18.20185089,4
-17.83211327,6
-17.46237373,3
-17.09263611,5
-16.72289658,4
-16.35315895,4
-15.98342037,8
-15.61368179,9
-15.24394321,9
-14.87420464,19
-14.50446606,22
-14.13472843,21
-13.76498985,26
-13.39525127,39
-13.0255127,49
-12.65577412,51
-12.28603554,56
-11.91629696,53
-11.54655838,67
-11.17682076,94
-10.80708218,124
-10.4373436,126
-10.06760502,160
-9.69786644,193
-9.32812786,203
-8.95838928,288
-8.5886507,342
-8.21891308,367
-7.84917402,477
-7.47943592,545
-7.10969734,710
-6.73995876,885
-6.37022018,1142
-6.00048208,1373
-5.6307435,1594
-5.26100492,1930
-4.89126635,2462
-4.52152824,2779
-4.15178967,3369
-3.78205109,3955
-3.41231275,4652
-3.04257417,5328
-2.67283583,6259
-2.30309725,6901
-1.93335891,7510
-1.56362033,8041
-1.19388199,8279
-0.82414347,8135
-0.45440501,7886
-0.08466655,7208
0.28507191,6493
0.65481037,5530
1.02454877,4587
1.39428735,3675
1.76402569,3113
2.13376427,2497
2.50350261,2036
2.87324119,1607
3.24297953,1345
3.61271811,1030
3.98245645,875
4.35219479,716
4.72193336,573
5.09167194,470
5.46141052,387
5.83114862,299
6.2008872,252
6.57062578,176
6.94036436,159
7.31010246,119
7.67984104,109
8.04957962,100
8.4193182,83
8.78905678,48
9.15879536,45
9.52853298,42
9.89827156,20
10.26801014,30
10.63774872,22
11.0074873,13
11.37722588,24
11.74696445,12
12.11670303,7
12.48644066,7
12.85617924,5
13.22591782,9
13.59565639,10
13.96539497,5
14.33513355,2
14.70487213,3
15.07461071,3
15.44434834,2
15.81408691,1
16.18382645,1
16.55356407,1
16.9233017,1
