x,y
-34.89653778,2
-33.73612595,1
-33.15592194,1
-32.57571411,2
-31.99550819,2
-31.41530228,3
-30.83509636,1
-30.25489044,1
-29.67468452,5
-29.09447861,5
-28.51427269,5
-27.93406677,2
-27.35386086,5
-26.77365494,3
-26.19344902,6
-25.6132412,4
-25.03303528,10
-24.45282936,8
-23.87262344,4
-23.29241753,11
-22.71221161,9
-22.13200569,20
-21.55179977,20
-20.97159386,18
-20.39138794,19
-19.81118202,18
-19.2309761,31
-18.65077019,34
-18.07056427,30
-17.49035835,51
-16.91015244,62
-16.32994461,59
-15.74973965,75
-15.16953373,88
-14.58932781,105
-14.00912094,112
-13.42891502,167
-12.84870911,198
-12.26850319,263
-11.68829727,315
-11.10809135,427
-10.52788544,460
-9.94767952,645
-9.36747265,837
-8.78726673,1074
-8.20706081,1283
-7.6268549,1647
-7.04664898,2115
-6.46644306,2616
-5.88623667,3325
-5.30603075,4185
-4.72582483,5182
-4.14561892,6275
-3.56541276,7793
-2.9852066,9261
-2.40500069,10752
-1.82479453,12151
-1.24458861,12978
-0.66438252,12623
-0.08417648,11535
0.49602956,9727
1.07623553,7085
1.65644169,5160
2.23664761,3660
2.81685376,2629
3.39705968,2010
3.97726583,1409
4.55747175,1059
5.13767767,739
5.71788406,560
6.29808998,438
6.8782959,318
7.45850182,257
8.03870773,174
8.61891365,145
9.19912052,96
9.77932644,77
10.35953236,61
10.93973827,47
11.51994419,43
12.10015011,23
12.68035603,16
13.26056194,17
13.84076881,12
14.42097473,19
15.00118065,9
15.58138657,5
16.16159248,6
16.7417984,7
17.32200432,2
17.90221024,2
18.48241615,1
19.06262207,2
19.64282799,2
20.22303391,1
20.80324173,1
21.38344765,1
23.1240654,2
