x,y
-272.17834473,1
-269.13586426,1
-266.09341431,1
-263.05093384,1
-253.92352295,2
-250.88104248,1
-244.7960968,1
-241.75363159,1
-214.37138367,1
-211.32891846,1
-208.28643799,1
-205.24397278,1
-202.20149231,1
-199.1590271,1
-196.11654663,1
-190.03160095,1
-183.94667053,1
-180.90419006,3
-174.81924438,1
-168.73429871,1
-165.6918335,1
-150.47947693,1
-144.39453125,1
-141.35205078,1
-138.30958557,1
-135.26712036,1
-132.22463989,1
-126.13970184,1
-120.05475616,3
-117.01228333,1
-110.92733765,1
-107.88486481,1
-101.79992676,2
-98.75745392,1
-95.71498108,1
-89.6300354,3
-83.54508972,1
-77.46015167,1
-71.37520599,1
-68.33273315,1
-59.20531845,3
-56.16284561,1
-53.12037277,2
-50.07789993,1
-47.03543091,7
-43.99295807,10
-40.95048523,6
-37.90801239,9
-34.86554337,5
-31.82307053,16
-28.78059769,16
-25.73812675,21
-22.69565392,33
-19.65318298,68
-16.61071014,95
-13.56823921,259
-10.52576637,846
-7.48329496,3028
-4.44082308,10230
-1.39835119,24727
1.64412069,59382
4.68659258,4830
7.72906446,1275
10.77153587,474
13.81400871,219
16.85647964,79
19.89895248,28
22.94142342,8
25.98389626,3
29.02636719,2
32.06884003,4
