x,y
-22.91156197,1
-22.52423477,2
-21.74958038,2
-21.36225319,1
-20.9749279,1
-20.58760071,2
-20.20027351,4
-19.81294632,2
-19.42561913,3
-19.03829384,5
-18.65096664,2
-18.26363945,1
-17.87631226,1
-17.48898506,2
-17.10165977,3
-16.32700539,7
-15.93967915,3
-15.55235195,2
-15.16502476,5
-14.77769852,5
-14.39037132,3
-14.00304508,4
-13.61571789,7
-13.22839069,6
-12.84106445,8
-12.45373726,4
-12.06641102,5
-11.67908382,2
-11.29175663,13
-10.90443039,9
-10.5171032,11
-10.12977695,10
-9.74244976,10
-9.35512257,8
-8.96779633,9
-8.58046913,23
-8.19314289,28
-7.8058157,21
-7.41848898,34
-7.03116226,43
-6.64383554,37
-6.25650835,57
-5.86918163,73
-5.48185492,92
-5.0945282,100
-4.70720148,110
-4.31987429,157
-3.93254757,236
-3.54522085,327
-3.15789413,419
-2.77056718,538
-2.38324046,867
-1.99591362,1328
-1.60858679,2479
-1.22126007,5210
-0.83393323,11157
-0.4466064,22454
-0.05927961,35278
0.32804722,28566
0.71537399,10242
1.10270083,3651
1.49002767,1630
1.87735438,951
2.26468134,627
2.65200806,420
3.03933477,330
3.42666173,243
3.81398845,155
4.2013154,109
4.58864212,88
4.97596884,58
5.36329556,46
5.75062227,37
6.13794947,26
6.52527618,19
6.9126029,14
7.29992962,13
7.68725634,7
8.07458305,5
8.46191025,8
8.84923649,4
9.23656368,4
9.62389088,6
10.01121712,4
10.39854431,1
10.78587055,1
11.56052494,3
11.94785118,3
12.72250462,3
13.10983181,1
13.497159,2
13.88448524,2
14.27181244,3
14.65913868,1
15.04646587,2
15.43379307,1
15.82111931,1
