x,y
-23.27923965,1
-21.61441422,1
-19.94958878,1
-19.53338242,1
-19.11717606,1
-18.7009697,1
-18.28476334,2
-17.86855698,3
-17.45235062,3
-17.03614426,7
-16.6199379,3
-16.20373154,4
-15.78752422,10
-15.37131786,9
-14.9551115,11
-14.53890514,13
-14.12269878,9
-13.70649242,10
-13.29028606,23
-12.8740797,24
-12.45787334,17
-12.04166698,35
-11.62546062,41
-11.20925426,31
-10.7930479,45
-10.37684155,41
-9.96063519,76
-9.54442883,53
-9.12822247,71
-8.71201611,83
-8.29580975,123
-7.87960339,149
-7.46339703,158
-7.04719067,205
-6.63098383,233
-6.21477747,274
-5.79857111,355
-5.38236475,478
-4.96615839,599
-4.54995203,803
-4.13374567,1024
-3.71753931,1467
-3.30133295,2047
-2.88512659,2775
-2.46892023,3930
-2.05271387,5539
-1.63650739,7517
-1.22030103,9705
-0.80409461,11282
-0.38788819,12013
0.02831818,11184
0.44452459,9101
0.86073095,6427
1.27693737,4411
1.69314373,2807
2.1093502,1696
2.52555656,1092
2.94176292,752
3.35796928,488
3.77417564,343
4.190382,262
4.60658836,201
5.02279472,117
5.43900108,90
5.85520744,91
6.2714138,71
6.68762064,53
7.103827,36
7.52003336,35
7.93623972,22
8.3524456,22
8.76865196,18
9.18485832,16
9.60106468,15
10.017272,12
10.43347836,3
10.84968472,7
11.26589108,6
11.68209743,3
12.09830379,1
12.51451015,3
12.93071651,5
13.34692287,1
13.76312923,3
14.17933559,2
14.59554195,1
15.42795467,1
15.84416103,1
18.34140015,1
