x,y
-72.14756775,1
-70.52933502,2
-69.72021484,3
-68.91110229,6
-68.10198212,7
-67.29286194,5
-66.48374939,6
-65.67462921,5
-64.86551666,5
-64.05639648,3
-63.24728012,7
-62.43816376,3
-61.62904739,3
-60.81993103,3
-60.01081467,1
-59.2016983,4
-58.39258194,2
-57.58346558,5
-56.77434921,6
-55.96523285,3
-55.15611267,5
-54.34699631,1
-53.53787994,5
-52.72876358,1
-51.91964722,6
-51.11053085,6
-50.30141449,5
-49.49229813,9
-48.68318176,14
-47.8740654,6
-47.06494904,8
-46.25582886,8
-45.44671249,8
-44.63759613,13
-43.82847977,15
-43.0193634,21
-42.21024704,27
-41.40113068,26
-40.59201431,20
-39.78289795,31
-38.97378159,35
-38.16466522,48
-37.35554504,45
-36.54642868,33
-35.73731232,49
-34.92819595,45
-34.11907959,64
-33.30996323,77
-32.50084686,81
-31.6917305,98
-30.88261223,99
-30.07349586,101
-29.2643795,130
-28.45526314,139
-27.64614677,162
-26.8370285,156
-26.02791214,137
-25.21879578,160
-24.40967941,200
-23.60056305,212
-22.79144478,242
-21.98232841,287
-21.17321205,308
-20.36409569,317
-19.55497932,358
-18.74586296,430
-17.93674469,515
-17.12762833,625
-16.31851196,773
-15.5093956,854
-14.70027828,957
-13.89116192,1129
-13.0820446,1351
-12.27292824,1654
-11.46381187,2000
-10.65469456,2333
-9.84557819,2666
-9.03646183,3321
-8.22734451,3776
-7.41822815,4338
-6.60911131,4841
-5.79999447,5374
-4.99087763,5975
-4.18176126,6450
-3.37264442,7827
-2.56352758,10070
-1.75441098,13681
-0.9452942,17136
-0.13617748,15033
0.67293924,7272
1.4820559,2385
2.29117274,970
3.10028934,489
3.90940619,221
4.71852303,104
5.52763939,48
6.33675623,14
7.14587307,5
7.95498991,2
8.76410675,1
