x,y
-63.73813248,4
-62.97624207,2
-62.21435165,1
-61.45246124,2
-60.69057083,1
-59.92868042,6
-59.16679001,2
-57.64300537,3
-56.88111496,3
-56.11922455,3
-55.35733414,5
-54.59544373,3
-53.83355331,3
-53.07165909,2
-52.30976868,6
-51.54787827,4
-50.78598785,7
-50.02409744,6
-49.26220703,3
-48.50031662,6
-47.73842239,6
-46.97653198,4
-46.21464157,3
-45.45275116,5
-44.69086075,3
-43.92897034,6
-43.16707993,3
-42.4051857,5
-41.64329529,3
-40.88140488,5
-39.35762405,5
-38.59573364,2
-37.83384323,3
-37.07195282,3
-36.31005859,3
-35.54816818,3
-34.78627777,3
-34.02438736,3
-33.26249695,1
-32.50060654,2
-31.73871422,5
-30.97682381,3
-30.21493149,3
-29.45304108,4
-28.69115067,2
-27.92926025,1
-27.16736794,11
-26.40547752,1
-25.64358711,3
-24.8816967,3
-24.11980438,6
-23.35791397,6
-22.59602356,8
-21.83413124,9
-21.07224083,7
-20.31035042,14
-19.54846001,13
-18.78656769,12
-18.02467728,21
-17.26278687,24
-16.50089455,25
-15.73900414,31
-14.97711372,29
-14.21522236,37
-13.45333195,47
-12.69144058,57
-11.92954922,99
-11.16765881,137
-10.40576744,197
-9.64387703,279
-8.88198566,372
-8.12009525,430
-7.35820389,672
-6.596313,888
-5.83442211,1146
-5.07253122,1530
-4.31064034,2168
-3.54874921,3020
-2.78685832,4739
-2.02496743,8443
-1.26307642,17589
-0.50118542,32739
0.2607055,33199
1.02259648,13601
1.78448737,4003
2.54637837,1464
3.30826926,700
4.07016039,357
4.83205128,214
5.59394217,125
6.35583305,82
7.11772394,49
7.87961483,34
8.6415062,28
9.40339661,26
10.16528797,8
10.92717838,4
11.68906975,7
12.45096111,3
