x,y
-33.81228638,1
-32.91069794,1
-32.00910568,1
-31.10751724,2
-30.2059269,2
-29.30433655,1
-28.40274811,2
-27.50115776,2
-26.59956741,3
-24.79638863,5
-23.89479828,4
-22.99320984,1
-22.09161949,3
-21.19002914,3
-20.2884407,5
-19.38685036,9
-18.48526192,8
-17.58367157,13
-16.68208122,16
-15.78049183,18
-14.87890244,26
-13.97731209,48
-13.07572269,44
-12.1741333,59
-11.27254391,84
-10.37095356,123
-9.46936417,148
-8.56777477,220
-7.6661849,247
-6.76459503,404
-5.86300516,557
-4.96141577,928
-4.0598259,1545
-3.15823627,2578
-2.25664663,4671
-1.35505688,9726
-0.45346716,22087
0.44812253,29819
1.34971225,18037
2.251302,9452
3.15289164,5279
4.05448151,2937
4.9560709,1573
5.85766077,960
6.75925016,613
7.66084003,396
8.56242943,246
9.46401978,144
10.36560917,106
11.26719856,62
12.16878891,49
13.0703783,33
13.9719677,28
14.87355804,18
15.77514744,20
16.67673683,22
17.57832718,7
18.47991562,3
19.38150597,4
20.28309631,5
21.18468475,6
22.0862751,4
22.98786545,5
23.88945389,5
24.79104424,5
25.69263458,3
26.59422302,3
27.49581337,3
28.39740372,6
29.29899216,1
31.10217285,2
32.00376129,2
32.90534973,2
33.80694199,4
35.61011887,3
36.51171112,1
37.41329956,2
38.314888,1
40.1180687,2
41.92124939,1
42.82283783,1
43.72442627,1
44.62601852,1
45.52760696,1
47.33078766,1
48.2323761,1
49.13396454,2
50.93714523,1
56.3466835,3
