x,y
-25.04633331,1
-24.11516762,5
-23.64958572,1
-23.18400192,1
-22.71842003,2
-22.25283623,2
-20.85608864,1
-19.92492294,8
-19.45933914,4
-18.52817345,3
-18.06259155,5
-17.59700775,4
-17.13142395,3
-16.66584206,3
-16.20025826,1
-15.73467636,8
-15.26909351,7
-14.80351067,6
-14.33792782,18
-13.87234497,4
-13.40676212,14
-12.94117928,16
-12.47559643,16
-12.01001358,21
-11.54443073,41
-11.07884789,46
-10.61326504,59
-10.14768124,77
-9.68209839,99
-9.21651554,96
-8.75093269,152
-8.28534985,264
-7.81976748,269
-7.35418463,329
-6.88860178,458
-6.42301846,587
-5.95743561,780
-5.49185276,971
-5.02626991,1299
-4.56068707,1686
-4.09510422,2020
-3.62952137,2581
-3.16393852,3130
-2.69835567,3959
-2.23277283,4661
-1.76718986,5822
-1.30160701,6871
-0.83602417,7793
-0.37044126,8548
0.0951416,9099
0.5607245,8800
1.02630734,8111
1.49189019,7486
1.95747316,6638
2.42305589,5844
2.88863897,4999
3.35422182,4372
3.81980467,3795
4.28538752,3123
4.75097036,2710
5.21655321,2196
5.68213606,1873
6.14771891,1612
6.61330175,1296
7.0788846,1070
7.54446745,903
8.01005077,682
8.47563362,624
8.94121647,490
9.40679932,364
9.87238216,303
10.33796501,245
10.80354786,179
11.26913071,155
11.73471355,120
12.2002964,92
12.66587925,83
13.1314621,62
13.59704494,65
14.06262779,43
14.52821064,42
14.99379349,20
15.45937634,17
15.92495918,5
16.39054298,12
16.85612488,8
17.32170868,7
17.78729057,8
18.25287437,3
18.71845627,3
19.18404007,1
19.64962196,5
20.58078766,1
21.04637146,2
21.51195335,1
