x,y
-14.80062199,2
-14.46477032,3
-14.12891769,3
-13.79306602,2
-13.45721436,9
-13.12136173,5
-12.78551006,8
-12.44965839,9
-12.11380672,18
-11.7779541,15
-11.44210243,23
-11.10625076,30
-10.77039814,34
-10.43454647,39
-10.0986948,44
-9.76284313,58
-9.42699051,72
-9.09113884,84
-8.75528717,88
-8.4194355,121
-8.08358288,147
-7.74773121,164
-7.41187906,163
-7.07602739,233
-6.74017525,259
-6.40432358,279
-6.06847143,328
-5.73261976,448
-5.39676762,494
-5.06091547,570
-4.7250638,746
-4.38921165,899
-4.05335999,1104
-3.71750784,1368
-3.38165593,1761
-3.04580402,2142
-2.70995212,2566
-2.37410021,3084
-2.0382483,3886
-1.70239627,4577
-1.36654437,5698
-1.03069246,6851
-0.69484049,8020
-0.35898852,9154
-0.0231366,9721
0.31271535,9686
0.64856726,8677
0.98441923,7416
1.32027113,6472
1.65612304,5464
1.99197507,4527
2.32782698,3875
2.66367888,3404
2.99953079,2911
3.3353827,2503
3.67123461,2218
4.00708675,1903
4.34293842,1600
4.67879057,1373
5.01464224,1143
5.35049438,1008
5.68634653,907
6.0221982,750
6.35805035,631
6.69390202,539
7.02975416,497
7.36560583,424
7.70145798,354
8.03730965,298
8.37316227,243
8.70901394,178
9.04486561,166
9.38071728,155
9.7165699,116
10.05242157,88
10.38827324,70
10.72412586,58
11.05997753,45
11.3958292,56
11.73168087,28
12.06753349,19
12.40338516,25
12.73923683,26
13.0750885,24
13.41094112,23
13.74679279,15
14.08264446,7
14.41849709,4
14.75434875,3
15.09020042,5
15.42605209,4
15.76190472,5
16.09775734,4
16.43360901,2
16.76946068,5
17.10531235,3
17.44116402,2
17.77701569,3
18.7845726,1
