x,y
-17.73700714,1
-17.36518478,2
-16.62154198,3
-16.24971962,1
-15.87789822,5
-15.50607681,2
-15.13425446,12
-14.76243305,4
-14.39061165,11
-14.01878929,7
-13.64696789,10
-13.27514553,12
-12.90332413,12
-12.53150272,24
-12.15968037,25
-11.78785896,29
-11.41603661,33
-11.0442152,33
-10.6723938,51
-10.30057144,55
-9.92875004,75
-9.55692768,84
-9.18510628,118
-8.81328487,126
-8.44146252,170
-8.06964111,177
-7.69781923,258
-7.32599735,260
-6.95417547,313
-6.58235359,374
-6.21053171,426
-5.83871031,498
-5.46688843,632
-5.09506655,693
-4.72324467,875
-4.35142279,1065
-3.97960114,1336
-3.60777926,1620
-3.23595762,2045
-2.86413574,2612
-2.4923141,3233
-2.12049222,3936
-1.74867046,4743
-1.37684858,5700
-1.00502682,7012
-0.63320506,8640
-0.26138324,10487
0.11043854,12829
0.48226035,11749
0.85408211,9951
1.22590387,8678
1.59772575,7283
1.96954751,5987
2.34136939,4950
2.71319103,4194
3.08501291,3351
3.45683455,2810
3.82865644,2361
4.20047808,1978
4.57229996,1657
4.94412184,1348
5.31594372,1062
5.6877656,979
6.059587,794
6.43140888,663
6.80323076,549
7.17505264,515
7.54687452,429
7.91869593,316
8.29051781,250
8.66234016,198
9.03416157,166
9.40598297,135
9.77780533,95
10.14962673,78
10.52144909,64
10.89327049,42
11.2650919,47
11.63691425,29
12.00873566,27
12.38055801,20
12.75237942,22
13.12420082,11
13.49602318,7
13.86784458,6
14.23966694,4
14.61148834,3
14.98330975,4
15.3551321,1
15.72695351,6
16.09877586,4
16.84241867,1
17.21424103,1
17.58606339,1
17.95788383,2
18.32970619,1
19.44517136,1
